,date,press,title,content,link
42,2016.01.08.,프레시안,"허우룩한 농사, 권태기?","  ⓒ김한수 그러나 2년 내리 농사는 짓는 족족 풍작이었다. 마늘과 양파는 입이 벌어질 정도로 튼실한 놈들로 수확했고, 감자도 관행농 부럽잖게 씨감자의 스무 배나 나왔다. 봄 당근은 시중 당근과 견주어 밑질 게 없었으며... ",http://www.pressian.com/news/article.html?no=132388&ref=nav_search
2008,2016.12.12.,매일경제,상차리기 겁나는 장바구니 물가,  지난 초가을 폭염과 여름 태풍의 여파로 주요 작물 상당수가 흉년을 겪으면서 공급 부족 현상이... 궂은 날씨로 올해 당근 농사가 어려움을 겪으며 출하량이 줄어든 것이 원인이다. 이달 전체 당근 출하량은 전년... ,http://news.mk.co.kr/newsRead.php?no=859884&year=2016
3482,2017.11.15.,제민일보,제주당근 제값받기 위한 노력,  농민들은 흉년으로 농사를 망치면 말할 것도 없지만 반대로 풍년이 들어도 걱정한다. 올해 제주 당근 생산량은 파종기 때 적절한 날씨 등으로 지난해3만4000t보다 56% 가량 증가한 5만3000t(5년 평균 생산량 4만7000t)에 이를... ,http://www.jemin.com/news/articleView.html?idxno=480034
3530,2017.11.24.,한국농어민신문,[기고] 제주당근 제값받기의 조건,  농민들은?흉년으로?농사를?망치면?말할?것도?없지만?반대로?농사가?잘되어?풍년이?들어도?걱정을?한다. ?올해?제주?당근?생산량은?파종기의?적절한?날씨와?태풍의?영향을?받지?않아?작년?3만4000톤에서... ,http://www.agrinet.co.kr/news/articleView.html?idxno=157431
3570,2017.12.06.,제민일보,풍작 월동작물 가격 폭락 '애물단지',"  월동무 시장격리 신청에 사업량 갑절 이상 몰려 당근 예상생산량 전년 대비 54% ↑, 가격 반토막 월동무 처리난을 우려한 제주 농가들이 시장격리를 통한 위기관리에 들어갔다. 하지만 수급조절에 대한 근원적... ",http://www.jemin.com/news/articleView.html?idxno=484134
3573,2017.12.07.,동아일보,이마트 “제주산 채소 싸게 사세요”,  제주 내 당근 재배면적이 1408만 m²로 최근 5개년 평균(1477만 m²)에 미치지 못하지만 기상여건이 좋아 풍작을 이룬 것이다. 무는 재배면적이 늘었다. 지난해 4062만 m²였던 재배면적이 올해는 4874만 m²로 20... ,http://news.donga.com/3/all/20171207/87618206/1
3576,2017.12.07.,서울파이낸스,제주 당근 '풍작'…싸게 골라보세요,"  '겨울채소 공장'으로 불리는 제주도의 채소 풍작으로 당근 값이 지난해보다 크게 떨어졌기 때문이다. 이마트가 이번 행사를 위해 준비한 제주 당근은 100g당 100g당?149원 꼴로,?지난해 580원과 견줘 431원이나 싸다.... ",http://www.seoulfn.com/news/articleView.html?idxno=294431
3583,2017.12.11.,제민일보,[날줄씨줄] 풍년의 역설,"  제주는 물론 다른 지역 무와 당근도 풍작을 이루면서 가격하락을 부추기는 등 '풍년의 역설'이 되고 있다. 이와 반대로 지난해의 경우 태풍 차바가 10월에 내습하면서 무와 당근 피해가 심했고, 생산량이 감소하면서 가격이... ",http://www.jemin.com/news/articleView.html?idxno=485074
5710,2018.08.13.,뉴제주일보,해녀문화 깃든 해안길 걷다 보면 '숨비소리' 들리는 듯,  # 걱정되는 올 당근농사 구좌읍의 당근은 전국적으로 널리 알려진 농산물이다. 지역 어딜 가나 밭에 모래가... 성안에는 진사?객사?공수?사령방?군기고?대변청을 비롯해 흉년에 백성들에게 곡식을 빌려주는 '별창... ,http://www.jejuilbo.net/news/articleView.html?idxno=102664
7232,2019.01.11.,글로벌경제,"이마트, 제주산 제철 채소 소비활성화에 나선다","  박용필 이마트 채소 팀장은 “제주발 채소 풍작에 따른 시세 하락으로 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축해 이번 행사를 준비하게 됐다”며... ",http://www.getnews.co.kr/view.php?ud=20190111093609713441d0c69529_16
7233,2019.01.11.,뉴스핌,"이마트, 제주산 제철 채소 최대 55% 할인 판매","  박용필 이마트 채소 팀장은 “제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축해... ",http://www.newspim.com/news/view/20190111000349
7234,2019.01.11.,파이낸셜뉴스,"이마트, ‘겨울 채소 공장’ 제주산 채소 소비촉진 나서","  박용필 이마트 채소 팀장은“제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축해... ",http://www.fnnews.com/news/201901111043052166
7237,2019.01.11.,아시아투데이,"이마트, 무·당근·브로콜리·콜라비 등 제주산 겨울 채소 최대 55% 할인","  박용필 이마트 채소 팀장은 “제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추·당근 등을 비축해 이번... ",http://www.asiatoday.co.kr/view.php?key=20190111010006728
7239,2019.01.11.,에너지경제,"이마트, 제주산 겨울 채소 최대 55% 할인 판매","  박용필 이마트 채소 팀장은 ""제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축해 이번 행사를... ",http://www.ekn.kr/news/article.html?no=408823
7240,2019.01.11.,뉴스1,"이마트, '풍년' 제주산 채소 작년보다 최대 55% 싸게 판다","  박용필 이마트 채소 팀장은 ""제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 산지직송으로 대량 매입하는 한편 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축했다""며 ""수급불균형으로... ",http://news1.kr/articles/?3521786
7244,2019.01.11.,브릿지경제,"이마트, ‘겨울 채소 공장’ 제주산 채소 소비촉진 나선다","  박용필 이마트 채소 팀장은“제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축해 이번... ",http://www.viva100.com/main/view.php?key=20190111010003401
7251,2019.01.11.,아시아타임즈,"이마트, 제주산 제철 채소 소비활성화 나서...최대 55% 할인","  박용필 이마트 채소 팀장은""제주발 채소 풍작에 따른 시세 하락 우려의 목소리가 높아지고 있어 제주산 채소를 산지직송으로 대량 매입하는 한편, 자체 농산물 전용 후레쉬센터에 양배추, 당근 등을 비축해 이번... ",http://www.asiatime.co.kr/news/articleView.html?idxno=222661
12957,2019.08.29.,제민일보,제주 여름 못지 않은 가을장마 잦은 국지성 호우 '주의',"  제주도농업기술원은 ""지난 26일부터 비가 내린데다 내달 초까지 계속되면 동부지역에 당근과 무, 서부지역에 양배추, 중간간 지역에 감자 등 농작물의 생육지장과 병충해가 우려된다""고 말했다. ",http://www.jemin.com/news/articleView.html?idxno=616055
13069,2019.09.02.,제민일보,'가을장마' 변덕 심한 날씨에 멍드는 '제주 農心',"  8월 절반 비 날씨에 이어 9월도 연일 비에 태풍까지 농작물 관리 비상 감귤 병충해와 열과 피해, 최근 파종한 당근 등 밭작물 생육지장 우려 ""연일 이어지는 비 날씨에 병해충 방제를 못해 제대로 수확할 수 있을지... ",http://www.jemin.com/news/articleView.html?idxno=616514
13392,2019.09.11.,헤드라인제주,태풍.가을장마 피해농가에 재난지원금 특별지원,"  잦은 비날씨 등으로 병충해 방제 작업가 어려워 감자, 당근, 양배추 등 월동채소의 생육이 보장되지 않은 상태에서 태풍까지 이어져 폐작 수준의 피해를 재난지원금만으로 보전해 주기는 어렵다고 판단해 경영비 일부도... ",http://www.headlinejeju.co.kr/?mod=news&act=articleView&idxno=372255
13405,2019.09.11.,제주의소리,가을장마-태풍 피해 특별지원...농약-대파대 지원,"  특히 지난 8월말부터 9월 9일까지 잦은 강우 등으로 병충해 방제 작업도 어려운 상황이고, 감자, 당근, 양배추 등 월동채소 생육 상태가 보장되지 않아 농작물 피해 농가에 대한 경영안정과 현시점에서 대파가 가능한... ",http://www.jejusori.net/news/articleView.html?idxno=306763
13406,2019.09.11.,제주교통복지신문,"제주도, 태풍으로 피해입은 농가에 재난지원금 등 지원 나서","  제주도는 잦은 강우 등으로 병충해 방제 작업가 어려워 감자, 당근, 양배추 등 월동채소의 생육이 보장되지 않은 상태에서 태풍까지 이어져 폐작 수준의 피해를 재난지원금만으로 보전해 주기는 어렵다고 판단해 경영비... ",http://www.jejutwn.com/news/article.html?no=55087
13415,2019.09.11.,뉴제주일보,"道, 태풍 피해 농가 특별 경영안정 지원 대책 추진","  제주도 관계자는 ""지난 8월 말부터 이달 9일까지 잦은 강우 등으로 병충해 방제 작업이 어려웠고, 감자, 당근, 양배추 등 월동채소 생육 상태가 보장되지 않아 농작물 피해 농가에 대한 경영 안정이 시급한 상황""이라며... ",http://www.jejuilbo.net/news/articleView.html?idxno=130127
13418,2019.09.11.,국제뉴스,"제주도, 가을장마 및 태풍 피해농가 재난지원금 지원","  道는 잦은 강우 등으로 병충해 방제 작업가 어려워 감자, 당근, 양배추 등 월동채소의 생육이 보장되지 않은 상태에서 태풍까지 이어져 폐작 수준의 피해를 재난지원금만으로 보전해 주기는 어렵다고 판단해 경영비... ",http://www.gukjenews.com/news/articleView.html?idxno=1170728
13419,2019.09.11.,파이낸셜뉴스,"제주도, 가을장마·태풍 피해 농가 재해복구비 신속 지원","  이우철 제주도 농축산식품국장은 “최근 가을장마와 태풍으로 병충해 방제작업이 어려웠고, 감자·당근·양배추 등 월동채소 생육상태가 보장되지 않아 농작물 피해 농가에 대한 경영 안정이 시급한 상황”이라며... ",http://www.fnnews.com/news/201909111048569844
13726,2019.09.27.,한국농어민신문,궂은 날씨…월동채소 수급 ‘어쩌나’,  제주ㆍ남부권?주산지 생육초기?잦은?비ㆍ잇단?태풍 병충해?확산ㆍ파종?지연 무ㆍ당근ㆍ감자?등?생육... 주산지에서?병충해가?발생하거나?파종이?지연되고?있기?때문이다.?더욱이?일부?농민들은?궂은?날씨로... ,http://www.agrinet.co.kr/news/articleView.html?idxno=172031
14726,2019.11.23.,경향신문언론사 선정,제주도의 '불청객' 제주 제2공항…난개발과 개발 사이,"  세 차례 태풍으로 당근이 물에 쓸려가 흉작을 봤다며 최근 미묘한 환경변화가 감지되고 있다고 말했다. 관광객 유입으로 소득이 느는 것보다 오히려 생활비가 올라가고, 관광객들이 중산간 등 대규모 자본이 투자된... ",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201911231042021&code=920100
15352,2019.12.30.,여성소비자신문,희망찬 새해를 여는 음식 한국 지역별 떡국과 세계 새해음식,"  여러 가지 음식을 달짝지근하게 조려서 3~4단 찬함에 보기 좋게 담았는데 검은콩은 건강과 장수 멸치는 풍작, 새우는 장수, 연근은 지혜, 밤은 재물, 다시마는 기쁨, 청어알은 자손번영, 무, 당근초절임은 가정번영을... ",http://www.wsobi.com/news/articleView.html?idxno=87656
15700,2020.01.24.,농민신문,PLS 1년 ‘성급한 자화자찬’…농가 “현실 모르면서”,  또 “일부 품목은 규정대로 농약을 치면 병충해 방제에 ‘헛방’이어서 일손이 더 든다”고 지적했다. 일례로 당근 재배 때 제초효과가 있는 <한사리> <나브> 등의 약제는 겨울뿌리가 돋아나는 10월 중순에 쳐야 효과가... ,http://www.nongmin.com/article/ar_detail.htm?ar_id=305993
16900,2020.04.02.,충청매일,집 콕 생활에 집밥 물가만 쑥,"  다만 코로나19 영향보다는 지난해 가을 풍작으로 인한 기저효과로 가격이 내려간 것으로 보인다. 반면 배추(96.9%), 호박(58.1%), 시금치(29.6%), 부추(27.2%), 무(30.3%), 당근(32.8%), 풋고추(24.2%), 양파(70.6%) 오이(11.7%) 등... ",http://www.ccdn.co.kr/news/articleView.html?idxno=640946
16901,2020.04.02.,경상매일신문,코로나에 외식 줄고 집밥 늘고…돼지고기 9.9%ㆍ달걀 20.3%↑,"  다만 코로나19 영향보다는 지난해 가을 풍작으로 인한 기저효과로 가격이 내려간 것으로 보인다.반면 배추(96.9%), 호박(58.1%), 시금치(29.6%), 부추(27.2%), 무(30.3%), 당근(32.8%), 풋고추(24.2%), 양파(70.6%) 오이(11.7%) 등... ",http://www.ksmnews.co.kr/default/index_view_page.php?idx=288434&part_idx=234
21958,2020.07.10.,헤드라인제주,"제주, 당근 파종시기 가뭄피해 예방 수분안정관리 실증시험 추진",  제주도의 특산작목인 당근 파종 시기에 가뭄과 고온으로 발아 불량 또는 말라 죽는 등의 문제를 해결하기... 제주당근 주 파종시기는 7월 중순에서 8월 상순으로 이 시기에 매년 가뭄과 고온이 반복 발생되면서 발아가... ,http://www.headlinejeju.co.kr/news/articleView.html?idxno=421941
