,date,press,title,content,link
2447,2017.04.05.,경북매일신문,대파 풍작을 꿈꾸며…,  청명인 4일 포항 지역의 낮 최고 기온이 올 들어 최고인 24.2℃를 기록한 가운데 남구 송도동의 한 농가에서 대파 모종 출하를 위해 분주히 손길을 놀리고 있다. ,http://www.kbmaeil.com/news/articleView.html?idxno=411463
2451,2017.04.09.,한국농정신문,"새 정부여, 농민의 목소리를 들어라",  정책위원장 농사를?지은?지?30년이?됐다. ?2006년?이후?대파?파동을?7번?겪으면서?빚도?많이?지고... 정부가?그?해?타작물재배?지원사업을?시행했지만?2011~2013년?흉년이?들자?사업이?없어지고?쌀?증산... ,http://www.ikpnews.net/news/articleView.html?idxno=29611
4623,2018.04.22.,브릿지경제,이상기온에 널뛰는 식탁물가… 감자·무 값은 평년보다 두 배 오른 반면 사과...,  한낮의 기온이 20도까지 크게 오르면서 생육이 빨라진 양파와 대파는 풍작으로 오히려 재고가 남아 도는 상황이다. 반면 아침 기온은 평년보다 낮아 이상 저온을 보이면서 농작물 피해가 발생했다.... ,http://www.viva100.com/main/view.php?key=20180422010007818
6682,2018.11.04.,뉴시스,대파 농사 풍년,  = 4일 오후 일용직 노무자들이 강원 평창군 진부면의 한 대파 밭에서 대파를 수확하고 있다. 2018.11.04. photo31@newsis.com [사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를... ,http://www.newsis.com/view/?id=NISI20181104_0014617547
6684,2018.11.04.,국민일보,'올해 대파 농사 풍년이오!',"  일용직 노무자들이 4일 오후 강원 평창군 진부면의 한 대파 밭에서 수확철을 맞아 대파를 수확하고 있다. 뉴시스 [페이스북] [취재대행소 왱!(클릭)] GoodNews paper ⓒ 국민일보(www.kmib.co.kr), ",http://news.kmib.co.kr/article/view.asp?arcid=0012813998&code=61121111&cp=nv
9669,2019.05.07.,국제신문,"마을 직격한 골프장 야간 조명, 기장군의회·시의회 팔 걷었다",  주민들은 또 벼 양파 대파 등 작물 생육에도 악영향을 줘 올해 흉작이 될 것으로 우려한다. 주민 고모(55) 씨는 “아흔이 넘은 할머니가 잠을 제대로 못자 골프장에 항의하니 커튼을 치라 했다”며 분통을 터뜨렸다. 하지만... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20190507.22010002420
10181,2019.05.23.,내일신문,'농번기' NH농협은행 일손돕기 나서,  이날 농협은행 임직원들은 일손이 부족한 농가에 방문해 '대파 밭 제초작업'과 '토마토 수확작업' 등을 도왔고 봉사활동 이후에는 덕천리 마을 주민과 농협 직원 간 화합의 자리를 마련해 올해 풍년농사를 기원했다. 박... ,http://www.naeil.com/news_view/?id_art=314038
10601,2019.06.11.,LG헬로비전,"[헬로 이슈토크] 전남, 산지폐기 악순환... 근본 대책은?","  ""소비자와 농민 간 가격 차이 인한 산지폐기"" ""배추·겨울 대파·양파 등 181억 투자 산지폐기, 가격 조정"" ""금년 따뜻한 겨울 날씨 영향 병충해 피해 적어 풍년"" ""양파, 마늘 등 수확량 증가 가격 안정화 위한 산지폐기"" ""2017년... ",http://news.cjhello.com/news/newsView.do?soCode=SCN0000000&idx=253304
11078,2019.06.24.,디트뉴스24,"곽티슈, 고추장, 된장가격 전년 6월 대비 15% 이상 올라",  이번 물가조사에서 양파는 지난 겨울 포근한 날씨에 비가 적당히 내리면서 기상여건 호조와 병충해가 없어 시장 출하량이 큰 폭 늘어나면서 가격이 떨어졌다. 대파는 산지 우천으로 출하작업이... ,http://www.dtnews24.com/news/articleView.html?idxno=551364
12452,2019.08.09.,경북일보,[사설] 반복되는 '풍년의 역설' 농림부는 뭐하나,"  그야말로 '풍년의 역설'이다. 이를 개선하기 위해서는 우선 현재 15% 정도인 농산물 계약재배 비율을 높이고, 배추나 무, 양파, 고추, 대파 등 6품목에 적용하는 채소가격 안정사업을 확대해야 한다. 이를 위해서는 이를... ",http://www.kyongbuk.co.kr/news/articleView.html?idxno=2011399
