,date,press,title,content,link
544,2016.04.29.,한겨레,"모종은 옮겨 심고, 잡풀은 없애고","  마침 곡우에 단비가 내렸으니, 초보 농부도 ‘개불알에 쌀밥 붙으리라’며 풍작을 기대할 법하다. 잎채소는 이미 곡우를 전후해 넣었으니 고추, 토마토, 가지, 호박, 오이, 생강 등 뿌리와 열매채소의 모종을 옮겨 심어야... ",http://www.seouland.com/arti/society/society_general/302.html
658,2016.05.26.,경향신문,“먹을 토마토도 없는데… 던져서 버리다니”,  나이지리아가 스페인 토마토 축제를 걸고넘어지게 된 계기는 유례없는 토마토 흉작이다. 나이지리아 북쪽 카두나 지역에서는 ‘투타 앱솔루타’라 불리는 나방 때문에 토마토 생산량이 80% 줄었다. 투타 앱솔루타는... ,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201605262243015&code=970205
975,2016.08.08.,인민망,"닝샤 토마토 농가 비상, 토마토 500g에 0.1위안",  토마토 농사는 풍작을 이뤘지만 현지 농민들은 어찌할 바를 몰라했다. 작년 500g에 1~1.5위안 정도 하던 토마토 가격이 올해는 0.1~0.2위안까지 떨어졌기 때문이다. 큰 폭으로 떨어진 토마토 가격 때문에 많은 농민들은... ,http://kr.people.com.cn/n3/2016/0808/c203281-9096516.html
1744,2016.10.30.,리얼푸드,"[리얼푸드]“韓, 日 토마토 수출 늘리려면 상품성 높여야”","  주로 샐러드나 샌드위치, 패스트푸드점 등지의 업무용 수요로 활용되며, 일부는 일본에 흉작이 들었을 때 보완하는 목적으로 이용된다. 그나마 20년 새 토마토 가공식품이 2배 가까이 수입량이 늘었을 뿐, 토마토... ",http://www.realfoods.co.kr/realfoods/view.php?ud=20161029000060
1756,2016.10.31.,헤럴드경제,“토마토 日수출 늘리려면 고부가상품 개발을”,"  주로 샐러드나 샌드위치, 패스트푸드점 등지의 업무용 수요로 활용되며, 일부는 일본에 흉작이 들었을 때 보완하는 목적으로 이용된다. 그나마 20년 새 토마토 가공식품이 2배 가까이 수입량이 늘었을 뿐, 토마토 수입량... ",http://news.heraldcorp.com/view.php?ud=20161031000409
2530,2017.05.04.,한국일보,예천 ‘돌 토마토’ 본격 출하,  하지만 외국산 열대과일의 수입이 늘어나고 남부지방 토마토 생산면적 확대 및 풍작의 영향으로 공판장 출하 시세는 지난해 대비 20% 정도 낮게 형성되고 있다. 군 관계자는 “농협양재유통센터에서 직판 홍보행사를... ,http://www.hankookilbo.com/v/5d503cdf892248d380697baa206bba74
2533,2017.05.04.,뉴시스,예천군 대표 원예작물 '토마토' 첫 출하,"  현재 토마토 시세는 FTA 등 시장개방으로 외국산 열대과일 수입 증가, 남부지방의 토마토 생산면적 확대, 토마토 농사 풍작 등으로 인해 전년 대비 20% 떨어졌다. 군 관계자는 ""농민들의 소득증대를 위해 시세가 높은... ",http://www.newsis.com/view/?id=NISX20170504_0014873095&cID=10810&pID=10800
2540,2017.05.07.,아시아투데이,"예천군, 농산물산지유통센터 토마토 출하 시작",  현재 토마토 시세는 FTA 등 시장개방으로 외국산 열대과일의 수입이 늘어나고 남부지방의 토마토 생산면적 확대와 토마토 농사 풍작으로 인해 전년 대비 시세가 주요 공판장 중심으로 20% 낮게 형성 되고 있다. 군은... ,http://www.asiatoday.co.kr/view.php?key=20170507010001845
2544,2017.05.08.,경상매일신문,"예천 토마토, 소비자 입맛 잡는다",  현재 토마토 시세는 FTA 등 시장개방으로 외국산 열대과일의 수입이 늘어나고 남부지방의 토마토 생산면적 확대와 토마토 농사 풍작으로 인해 전년 대비 시세가 주요 공판장 중심으로 20% 낮게 형성 되고 있다. 한편... ,http://www.ksmnews.co.kr/default/index_view_page.php?idx=174176&part_idx=292
2545,2017.05.08.,안동MBC,예천 토마토 본격 출하,  재배하고 있으며 산지유통센터를 통해 매일 대도시 등으로 판매되고 있습니다. 토마토 재배면적 확대와 풍작으로 현재 시세는 지난 해 대비 20% 정도 낮게 형성되고 있지만 예천토마토는 공판장에서 호평을 받고 있습니다. ,http://andongmbc.co.kr/adboard/NewsView27495
2546,2017.05.08.,국제뉴스,"예천군, 농산물산지유통센터 '토마토 출하' 시작","  현재, 토마토 시세는 FTA 등 시장개방으로 외국산 열대과일의 수입이 늘어나고 남부지방의 토마토 생산면적 확대와 토마토 농사 풍작으로 인해 전년 대비 시세가 주요 공판장 중심으로 20% 낮게 형성 되고 있다. 예천군은... ",http://www.gukjenews.com/news/articleView.html?idxno=705010
2547,2017.05.08.,대구신문,“꿀맛나는 예천 돌토마토 출하요”,  토마토 시세는 FTA 등 시장개방으로 외국산 열대과일의 수입이 늘어나고 남부지방의 토마토 생산 확대와 토마토 농사 풍작으로 인해 전년 대비 시세가 주요 공판장 중심으로 20% 낮게 형성 되고 있다. 예천... ,http://www.idaegu.co.kr/news.php?code=tk0308&mode=view&num=223792
2868,2017.07.26.,세계일보,총을 든 印 사나이는 왜 토마토 가게를 지켜고 있을까?,"  토마토 주요 산지로 알려진 마디야프라데시 주에서는 풍작 덕분에 불과 1달 전까지만 해도 여기저기서 토마토를 흔하게 볼 수 있었으나, 폭우로 토마토 농장이 큰 피해를 입고 물량이 줄어들면서 1kg당 100루피(약 1730원)... ",http://www.segye.com/content/html/2017/07/25/20170725003850.html?OutUrl=naver
3832,2018.03.05.,부산일보,강서구 근교농업 살리기 지자체·정치권 힘 모은다,"  최근 짭잘이 토마토로 유명한 대저토마토는 풍작에도 불구하고 전국적인 생산량 증대, 경기 침체 등으로 소비 불황에 직면했다. 높은 생산량에 단가가 낮아지자, 대저농협 산지유통센터는 지난달 말까지 30~35t의... ",http://news20.busan.com/controller/newsController.jsp?newsId=20180305000320
3874,2018.03.15.,EPA연합뉴스,"인도, 유례없는 풍작에 토마토 가격 폭락",  (케올라자이어<인도> EPA=연합뉴스) 14일(현지시간) 인도 보팔 인근 케올라자이어에서 소들이 버려진 토마토를 먹고 있다. 이 지역은 유례없는 풍년으로 토마토 가격이 1kg에 약 2루피(약 30원)로 급락했다. 지역... ,http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=PYH20180315216500340&did=1196m
3985,2018.04.09.,SK브로드밴드,[티브로드뉴스]<부산>제철 '대저토마토' 수확량 크게 늘어,  올해는 온화한 날씨 덕분에 풍작을 이뤘는데요. 이번 주말에는 토마토축제도 열릴 예정입니다. 박재한기자입니다. --------------------------------- (리포트) 겨우내 정성껏 키운 토마토가 먹음직스럽게 여물었습니다. 본격... ,http://ch1.tbroad.com/content/view?parent_no=24&content_no=54&p_no=53941
4290,2018.04.17.,강원일보,[포토뉴스]철원 풍년농사지원 스타트업·일손돕기,"  NH농협 철원군지부(지부장:안경환)와 한전 철원지사(지사장:권영대), 농가·고향주부모임 철원군연합회원 등 50여명은 16일 오전 갈말읍 군탄리 한 농가에서 `풍년농사지원 스타트업'을 열고 파 심기와 토마토 순 따기 등... ",http://www.kwnews.co.kr/view.asp?aid=218041600006&s=501
6036,2018.09.14.,MBC,[비디오 디저트] 무중력서도 1등…이젠 '우주인 볼트' 外,"  1940년대에 풍작으로, 토마토가격이 폭락하자 마을 사람들이 토마토를 던지며 항의하던 것이 유래인데요. 지금은 관광객이 함께 즐기는 축제로 자리 잡았습니다. 길거리가 온통 빨간색으로 물들어 그야말로... ",http://imnews.imbc.com/replay/2018/nw1400/article/4824485_24166.html
6402,2018.10.10.,경북일보,농업도 '분산투자' 시대…50가지 작물로 안정적 수입 창출,"  평작, 흉작이 조화를 이뤄 안정적인 수익을 거두는 데 도움을 준다고 했다. 5년 전 만해도 토마토를 주로 했던 그는 급변하는 농업 환경과 작물 시세 반영, 위험 분산을 위해 매년 변화를 거듭해 현재 상추 등 엽채류 50... ",http://www.kyongbuk.co.kr/?mod=news&act=articleView&idxno=1040202
9174,2019.04.22.,뉴시스,'농업을 통한 정서교육'…나주시 '학교 텃밭' 운영 호평,"  어린이들이 배추·상추 등 '엽채류'를 비롯해 토마토·오이 등 '과채류'의 재배·수확· 병충해 관리법을 직접 실습한다. 식재료 별 요리법 교육과 곡식을 활용한 콜라주 미술교육, 미세먼지 저감 식물 키우기, 카네이션... ",http://www.newsis.com/view/?id=NISX20190422_0000628304&cID=10201&pID=10200
9252,2019.04.23.,전남일보,"""농업의 소중함 직접 느껴요""","  학교 텃밭 프로그램은 엽채류(배추, 상추), 과채류(토마토, 오이) 재배·수확, 병충해 관리법, 식재료 요리법 등 텃밭 교육과 곡식을 활용한 콜라주, 미세먼지 저감 식물 화분, 카네이션 코사지 만들기 등 다채로운 실내... ",https://jnilbo.com/?p=810610
9318,2019.04.24.,전남매일,나주 '학교 텃밭' 본격 운영,"  학교 텃밭 프로그램은 엽채류(배추, 상추), 과채류(토마토, 오이) 재배·수확, 병충해 관리법, 식재료 요리법 등 텃밭 교육과 곡식을 활용한 콜라주, 미세먼지 저감 식물 화분 등 다채로운 실내 원예활동이 진행된다. 시는... ",http://www.jndn.com/article.php?aid=1556095808279697108
9356,2019.04.25.,무등일보,나주시 “학교 텃밭 프로그램 참여하세요”,"  어린이들이 배추·상추 등 ‘엽채류’를 비롯해 토마토·오이 등 ‘과채류’의 재배·수확· 병충해 관리법을 직접 실습한다. 식재료 별 요리법 교육과 곡식을 활용한 콜라주 미술교육, 미세먼지 저감 식물 키우기, 카네이션... ",http://www.honam.co.kr/read.php3?aid=1556118000582078064
9797,2019.05.10.,한국영농신문,"더기반, 상품성 좋고 내병성 강한 토마토 품종 출시","  이번에 선보이는 토마토는 TYLCV, TSWV 내병성을 지닌 품종으로 토마토 재배시 병충해에 노출이 되어 고민하는 농민들에게는 희소식으로 큰 호응을 얻고 있다. TY캐슬, TY아이템은 고당도, 고품질의 다수확이 가능한... ",http://www.youngnong.co.kr/news/articleView.html?idxno=25331
9894,2019.05.13.,농축유통신문,"더기반, 토마토 TY캐슬·TY아이템 농가 보급","  더 기반이 이번에 선보이는 토마토는 TYLCV, TSWV 내병성을 지닌 품종으로 토마토 재배 시 병충해에 노출돼 고민하는 농민들에게는 희소식으로 받아들여지고 있으며 큰 호응을 얻고 있다. TY캐슬, TY아이템은 고당도... ",http://www.amnews.co.kr/news/articleView.html?idxno=36733
10017,2019.05.16.,농기자재신문,황금씨앗 시대… 국내 종자산업의 현주소,"  농림수산식품기술기획평가원은 발표를 통해 “2012~2016년까지 GSP 1단계 사업 중 핵심연구실적들이 2012년 국가 연구개발사업 100선에 선정됐다”며 “병충해에 강한 토마토 품종, 파프리카 품종, 양배추 품종 개발이... ",http://www.newsam.co.kr/news/article.html?no=13340
10030,2019.05.16.,충청매일,[배명순의 the생각해보기]불편하지만 지혜로운 삶,"  농산물에 유용한데, 이 세라믹을 거친 물(농업용수)을 작물(오이, 토마토 등)에 뿌려주면 농약을 치지 않아도 병충해가 잘 나지 않고 수확량도 늘어난다고 한다. 청주와 보은의 몇 몇 농가에서 계약을 맺어서 재배하고... ",http://www.ccdn.co.kr/news/articleView.html?idxno=576118
10074,2019.05.19.,한국농업신문,"더기반, 'TY캐슬'·'TY아이템' 농가 보급","  이번에 선보이는 토마토는 TYLCV, TSWV내병성을 지닌 품종으로 재배시 병충해 문제로 고민하던 농민들에게 큰 호응을 얻고 있다. TY캐슬, TY아이템은 고당도, 고품질의 다수확이 가능한 품종이다. 특히 광택이 좋고 과형이... ",http://www.newsfarm.co.kr/news/articleView.html?idxno=50461
10132,2019.05.21.,한국농어민신문,농업도 SNS 바람…밴드·유튜브가 ‘대세’,"  이?밴드는?문경사과연구소?한?직원이?만든?것으로?사과?재배기술,?병충해,?시세와?기후?등?다양한?정보가?실시간으로?공유되고?있다. 이외에도?오이나?토마토?등?작목별?밴드가?활성화되면서?정보공유의... ",http://www.agrinet.co.kr/news/articleView.html?idxno=169309
10181,2019.05.23.,내일신문,'농번기' NH농협은행 일손돕기 나서,  이날 농협은행 임직원들은 일손이 부족한 농가에 방문해 '대파 밭 제초작업'과 '토마토 수확작업' 등을 도왔고 봉사활동 이후에는 덕천리 마을 주민과 농협 직원 간 화합의 자리를 마련해 올해 풍년농사를 기원했다. 박... ,http://www.naeil.com/news_view/?id_art=314038
10486,2019.06.06.,머니S,"경기도, '1호 공영도시농업농장' 개장식 6일 진행","  이날 권농제는 학생들의 길놀이를 시작으로 풍년기원 고사제, 민요공연과 씨앗폭탄던지기, 음식나누기 등... 상추, 고추, 고구마, 토마토 등 다양한 농작물을 약 400가구의 도시농부들이 농사를 짓고 있다. 향후, 경기도... ",http://moneys.mt.co.kr/news/mwView.php?no=2019060609568073367
10488,2019.06.06.,경기도민일보,경기도 1호 공영도시농업농장 개장식,"  이날 권농제는 학생들의 길놀이를 시작으로 풍년 기원 고사제, 민요 공연과 씨앗폭탄던지기, 음식나누기 등... 상추, 고추, 고구마, 토마토 등 다양한 농작물을 약 400가구의 도시농부들이 농사를 짓고 있다. 향후 경기도... ",http://www.kgdm.co.kr/news/articleView.html?idxno=639759
10489,2019.06.06.,경기신문,"道, 1호 '공영도시농업농장' 문열다","  이날 권농제는 학생들의 길놀이를 시작으로 풍년기원 고사제, 민요공연과 씨앗폭탄던지기, 음식나누기 등... 이 곳에서는 상추, 고추, 고구마, 토마토 등 다양한 농작물을 약 400가구의 도시농부들이 농사를 짓고 있다.... ",http://www.kgnews.co.kr/news/articleView.html?idxno=551465
10490,2019.06.06.,뉴스웍스,경기도 1호 공영도시농업농장 조성 및 개장식 개최,"  이날 권농제는 학생들의 길놀이를 시작으로 풍년기원 고사제, 민요공연과 씨앗폭탄던지기, 음식나누기 등... 상추, 고추, 고구마, 토마토 등 다양한 농작물을 약 400가구의 도시농부들이 농사를 짓고 있다. 앞으로 경기도... ",http://www.newsworks.co.kr/news/articleView.html?idxno=366239
