"date","요일","가격","당근거래량","당근_강수량_지속영향_size10","군산대_s4"
"2016.1.4","월요일",794,558950.2,NA,0.068627451
"2016.1.5","화요일",763,444353.7,NA,0.21641791
"2016.1.6","수요일",787,396170.4,NA,0.112676056
"2016.1.7","목요일",770,241115,NA,0.0808080808
"2016.1.8","금요일",705,359789,NA,0.120253165
"2016.1.9","토요일",728,252760,NA,0.138297872
"2016.1.11","월요일",750,466766,NA,0.05
"2016.1.12","화요일",735,396646.5,NA,0.0987654321
"2016.1.13","수요일",706,314062,NA,0.0843373494
"2016.1.14","목요일",692,349016,0.044367713,0.0923076923
"2016.1.15","금요일",748,296235.8,0.555973094,0.139784946
"2016.1.16","토요일",733,256431.8,0.050179372,0.0285714286
"2016.1.18","월요일",875,478153.6,0.152026906,0.129032258
"2016.1.19","화요일",809,179968,0.366089686,0.103626943
"2016.1.20","수요일",805,306456.5,0.358304933,0.134408602
"2016.1.21","목요일",829,206349,0.406313901,0.0571428571
"2016.1.22","금요일",840,199165.7,0.374618834,0.0903954802
"2016.1.23","토요일",778,269055.6,0.93470852,0.0666666667
"2016.1.25","월요일",813,448616,1.002878924,0.0672268908
"2016.1.26","화요일",808,258761,1.008950673,0.0967741935
"2016.1.27","수요일",847,229203,0.898475336,0.124031008
"2016.1.28","목요일",831,313315,4.09993722,0.0606060606
"2016.1.29","금요일",877,421575,7.834376682,0.102362205
"2016.1.30","토요일",873,246168,7.971748879,0.0689655172
"2016.2.1","월요일",889,442818,8.043273543,0.101604278
"2016.2.2","화요일",873,443468.6,7.463390135,0.202898551
"2016.2.3","수요일",846,548153.8,7.89496861,0.112149533
"2016.2.4","목요일",815,541741,7.454008969,0.0855855856
"2016.2.5","금요일",821,378645,7.363461883,0.0833333333
"2016.2.6","토요일",842,105463,4.313318386,0.0303030303
"2016.2.10","수요일",0,0,3.971434978,0.037037037
"2016.2.11","목요일",878,153606,3.934825112,0.0648148148
"2016.2.12","금요일",838,428900.7,8.362744395,0.0727272727
"2016.2.13","토요일",815,275214,11.62515695,0.0625
"2016.2.15","월요일",821,368124,11.69254709,0.064516129
"2016.2.16","화요일",827,319259.6,11.73100448,0.03125
"2016.2.17","수요일",891,272753,11.73204484,0.131195335
"2016.2.18","목요일",834,310835,11.49392825,0.15034965
"2016.2.19","금요일",798,363802.6,11.98889686,0
"2016.2.20","토요일",786,290680,11.75530942,0
"2016.2.22","월요일",793,415940,4.579955157,0.117437722
