"date","요일","가격","daedong_stock","서울대_s1"
"2016.1.4","월요일",794,9130,0.0186335404
"2016.1.5","화요일",763,9100,0.204058625
"2016.1.6","수요일",787,9030,0.111111111
"2016.1.7","목요일",770,9040,0.158940397
"2016.1.8","금요일",705,8930,0.0945454545
"2016.1.9","토요일",728,8942.675428,0.0769230769
"2016.1.11","월요일",750,8940,0.0816326531
"2016.1.12","화요일",735,8880,0.0231660232
"2016.1.13","수요일",706,9200,0.0129032258
"2016.1.14","목요일",692,9190,0.0136986301
"2016.1.15","금요일",748,9290,0.0566037736
"2016.1.16","토요일",733,9370.89873,-0.0526315789
"2016.1.18","월요일",875,9300,0.105527638
"2016.1.19","화요일",809,9090,0.0809968847
"2016.1.20","수요일",805,8940,0.130718954
"2016.1.21","목요일",829,8770,-0.166666667
"2016.1.22","금요일",840,8790,0.0436300175
"2016.1.23","토요일",778,8918.650476,0.1
"2016.1.25","월요일",813,8940,-0.0248756219
"2016.1.26","화요일",808,8750,-0.0294117647
"2016.1.27","수요일",847,8620,0.0283018868
"2016.1.28","목요일",831,8650,0.076433121
"2016.1.29","금요일",877,9000,0.0681818182
"2016.1.30","토요일",873,8954.516327,0.0192307692
"2016.2.1","월요일",889,8790,0.0853658537
"2016.2.2","화요일",873,8880,0.17211329
"2016.2.3","수요일",846,8870,0.0642458101
"2016.2.4","목요일",815,8910,-0.0027027027
"2016.2.5","금요일",821,9010,-0.00529100529
"2016.2.6","토요일",842,9155.477703,0.0576923077
"2016.2.10","수요일",0,9186.565904,0.155555556
"2016.2.11","목요일",878,8900,0.161458333
"2016.2.12","금요일",838,8330,0.0186567164
"2016.2.13","토요일",815,8181.497334,-0.148148148
"2016.2.15","월요일",821,8280,0.188571429
"2016.2.16","화요일",827,8270,-0.203389831
"2016.2.17","수요일",891,8230,0.149460709
"2016.2.18","목요일",834,8330,0.0723140496
"2016.2.19","금요일",798,8290,0
"2016.2.20","토요일",786,8323.723357,0
"2016.2.22","월요일",793,8390,0.131147541
"2016.2.23","화요일",804,8390,0.112840467
"2016.2.24","수요일",809,8370,0.170376055
"2016.2.25","목요일",785,8270,0.172494172
"2016.2.26","금요일",796,8290,0.00975609756
"2016.2.27","토요일",774,8126.280089,0.0921052632
"2016.2.29","월요일",833,7910,0.133514986
"2016.3.1","화요일",760,7872.230183,0.00617283951
"2016.3.2","수요일",810,8010,0.198083067
"2016.3.3","목요일",859,8200,0.0774647887
"2016.3.4","금요일",827,8200,-0.0186915888
"2016.3.5","토요일",808,8166.208306,0.118055556
"2016.3.7","월요일",837,8170,0.05
"2016.3.8","화요일",847,8220,0.111372549
"2016.3.9","수요일",820,8230,0.0642201835
"2016.3.10","목요일",830,8090,0.275510204
"2016.3.11","금요일",843,8210,0.0283018868
"2016.3.12","토요일",799,8254.765582,0
"2016.3.14","월요일",791,8230,0.0835777126
"2016.3.15","화요일",804,8240,0.145124717
"2016.3.16","수요일",814,8210,0.117117117
"2016.3.17","목요일",893,8190,-0.0552147239
"2016.3.18","금요일",836,8210,0.113207547
"2016.3.19","토요일",791,8145.701225,0.150943396
"2016.3.21","월요일",873,8080,-0.0555555556
"2016.3.22","화요일",812,8080,0.0755287009
"2016.3.23","수요일",881,8020,-0.0658682635
"2016.3.24","목요일",848,8070,0.107843137
"2016.3.25","금요일",818,8060,0.0566037736
"2016.3.26","토요일",791,8101.144464,0
"2016.3.28","월요일",864,8100,0.113207547
"2016.3.29","화요일",847,8070,-0.00966183575
"2016.3.30","수요일",835,8370,0.11827957
"2016.3.31","목요일",981,8330,0.137254902
"2016.4.1","금요일",891,8360,-0.0034965035
"2016.4.2","토요일",932,8325.821541,0
"2016.4.4","월요일",961,8240,0.0942760943
"2016.4.5","화요일",952,8190,0.0866336634
"2016.4.6","수요일",1020,8150,0.110849057
"2016.4.7","목요일",995,8100,0.0878504673
"2016.4.8","금요일",963,8060,0.181518152
"2016.4.9","토요일",1005,8036.300563,-0.0571428571
"2016.4.11","월요일",994,8030,0.0651162791
"2016.4.12","화요일",980,8040,0.0375
"2016.4.13","수요일",990,8053.925501,-0.166666667
"2016.4.14","목요일",870,8050,0.106435644
"2016.4.15","금요일",971,8010,0.126126126
"2016.4.16","토요일",976,7944.544699,0
"2016.4.18","월요일",1019,7900,0.0346534653
"2016.4.19","화요일",950,7920,0.22962963
"2016.4.20","수요일",906,7990,0.0990990991
"2016.4.21","목요일",958,8040,0.0366972477
"2016.4.22","금요일",903,8060,-0.0187793427
"2016.4.23","토요일",860,8036.553582,0.0660377358
"2016.4.25","월요일",897,8030,0
"2016.4.26","화요일",962,8040,0.0533333333
"2016.4.27","수요일",1028,7900,0.0751879699
"2016.4.28","목요일",1061,7840,0.209302326
"2016.4.29","금요일",995,7700,0.283333333
"2016.4.30","토요일",1149,7586.41069,0.321428571
"2016.5.2","월요일",1141,7460,0.10625
"2016.5.3","화요일",1202,7300,0.0566037736
"2016.5.4","수요일",1049,7310,0.044198895
"2016.5.5","목요일",1144,7349.944488,0
"2016.5.6","금요일",1172,7376.143158,0.0327868852
"2016.5.7","토요일",1070,7399.270249,0
"2016.5.9","월요일",1154,7430,0.215962441
"2016.5.10","화요일",1132,7480,0.0609137056
"2016.5.11","수요일",1048,7520,-0.0188679245
"2016.5.12","목요일",1032,7500,0.142857143
"2016.5.13","금요일",1116,7680,0.0120481928
"2016.5.14","토요일",1082,7602.505788,-0.0833333333
"2016.5.16","월요일",1051,7460,0.0449438202
"2016.5.17","화요일",1145,7500,-0.0402144772
"2016.5.18","수요일",1084,7440,-0.00522193211
"2016.5.19","목요일",1052,7440,0.0412844037
"2016.5.20","금요일",1098,7480,-0.0172413793
"2016.5.21","토요일",1107,7465.571055,0
"2016.5.23","월요일",1086,7470,0.108108108
"2016.5.24","화요일",1114,7620,0.170138889
"2016.5.25","수요일",1082,7910,0.0378681627
"2016.5.26","목요일",1033,7990,0.0410958904
"2016.5.27","금요일",1131,8300,0.121580547
"2016.5.28","토요일",1192,8426.081637,0
"2016.5.30","월요일",1155,8500,0.0275229358
"2016.5.31","화요일",1234,8600,0.0117647059
"2016.6.1","수요일",1092,8250,0.085
"2016.6.2","목요일",1161,8360,0.0837209302
"2016.6.3","금요일",1177,8430,0.136094675
"2016.6.4","토요일",1091,8476.870209,0
"2016.6.6","월요일",1097,8511.234443,0.113712375
"2016.6.7","화요일",1081,8470,0.00917431193
"2016.6.8","수요일",1059,8360,0.115515289
"2016.6.9","목요일",1094,8380,0.105413105
"2016.6.10","금요일",1034,8430,0.12788906
"2016.6.11","토요일",981,8329.349502,0.0746887967
"2016.6.13","월요일",1026,8190,-0.0865384615
"2016.6.14","화요일",1051,8090,0.0632279534
"2016.6.15","수요일",1019,7870,0.0934579439
"2016.6.16","목요일",1012,7880,-0.0320512821
"2016.6.17","금요일",1028,7920,0.0511627907
"2016.6.18","토요일",933,7944.441643,0
"2016.6.20","월요일",970,7980,-0.0362318841
"2016.6.21","화요일",954,8050,0
"2016.6.22","수요일",955,8100,-0.039800995
"2016.6.23","목요일",925,7830,0
"2016.6.24","금요일",905,7350,0.0136986301
"2016.6.25","토요일",876,7175.552834,0.08
"2016.6.27","월요일",946,7260,0.12371134
"2016.6.28","화요일",916,7400,0.0759493671
"2016.6.29","수요일",923,7490,0.0314465409
"2016.6.30","목요일",988,7600,0.178343949
"2016.7.1","금요일",897,7780,0.101851852
"2016.7.2","토요일",904,7950.11868,-0.14
"2016.7.4","월요일",926,8150,0.00606060606
"2016.7.5","화요일",925,8300,0.0535714286
"2016.7.6","수요일",829,8060,0.010989011
"2016.7.7","목요일",886,8050,0.0601503759
"2016.7.8","금요일",877,7940,0.0347394541
"2016.7.9","토요일",765,7852.303777,0.230769231
"2016.7.11","월요일",882,7780,0.0608974359
"2016.7.12","화요일",840,7720,0.0493273543
"2016.7.13","수요일",803,7840,0.140127389
"2016.7.14","목요일",774,7830,0.0256410256
"2016.7.15","금요일",837,7980,0.0134228188
"2016.7.16","토요일",708,8058.429658,0.0877192982
"2016.7.18","월요일",940,7970,0.0582524272
"2016.7.19","화요일",824,7770,-0.0190114068
"2016.7.20","수요일",827,7710,0.101736973
"2016.7.21","목요일",789,7810,0.0444444444
"2016.7.22","금요일",742,7830,-0.00305810398
"2016.7.23","토요일",691,7855.282247,0
"2016.7.25","월요일",812,7860,0.0165745856
"2016.7.26","화요일",839,7790,0
"2016.7.27","수요일",852,7750,0.0476190476
"2016.7.28","목요일",859,7900,0.0490797546
"2016.7.29","금요일",1064,7950,0.036199095
"2016.7.30","토요일",859,7926.014662,0
"2016.8.1","월요일",1132,7900,0.0172413793
"2016.8.2","화요일",1009,7880,-0.0444444444
"2016.8.3","수요일",968,7800,0
"2016.8.4","목요일",1022,7830,0.0462962963
"2016.8.5","금요일",860,7790,0.102493075
"2016.8.6","토요일",926,7748.620771,0.0101010101
"2016.8.8","월요일",1060,7770,0.12962963
"2016.8.9","화요일",907,7800,0.0361445783
"2016.8.10","수요일",1043,7630,0
"2016.8.11","목요일",813,7610,-0.00735294118
"2016.8.12","금요일",950,7610,0.0476190476
"2016.8.13","토요일",777,7603.958223,-0.150943396
"2016.8.15","월요일",966,7624.45004,0.0807174888
"2016.8.16","화요일",974,7700,-0.0417827298
"2016.8.17","수요일",1281,7790,-0.0219354839
"2016.8.18","목요일",1020,7700,0.00636942675
"2016.8.19","금요일",1258,7610,-0.0835117773
"2016.8.20","토요일",761,7599.146929,0.0363636364
"2016.8.22","월요일",1125,7560,0.032079646
"2016.8.23","화요일",1132,7440,-0.00159489633
"2016.8.24","수요일",1012,7400,0.0181451613
"2016.8.25","목요일",956,7360,-0.00740740741
"2016.8.26","금요일",1097,7700,0
"2016.8.27","토요일",857,7732.154985,0.0192307692
"2016.8.29","월요일",1085,7500,-0.0278551532
"2016.8.30","화요일",1105,7320,0.0184501845
"2016.8.31","수요일",1199,7340,0.00148148148
"2016.9.1","목요일",1117,7320,-0.0107991361
"2016.9.2","금요일",924,7350,0.0162037037
"2016.9.3","토요일",770,7355.875285,-0.025
"2016.9.5","월요일",1147,7330,0.0274390244
"2016.9.6","화요일",1021,7340,0.0105042017
"2016.9.7","수요일",1060,7460,0.0110192837
"2016.9.8","목요일",935,7390,0.111317254
"2016.9.9","금요일",983,7270,0.0677731674
"2016.9.10","토요일",925,7154.365124,0
"2016.9.12","월요일",1130,7120,0.0554951034
"2016.9.13","화요일",1203,7210,0.0817717206
"2016.9.14","수요일",697,7279.838151,0.0909090909
"2016.9.17","토요일",844,7280.277518,0
"2016.9.19","월요일",1158,7200,0.0639593909
"2016.9.20","화요일",1012,7220,0.0489826677
"2016.9.21","수요일",1014,7760,0.0407569141
"2016.9.22","목요일",1064,7770,-0.000982318271
"2016.9.23","금요일",1047,7490,0.0133991537
"2016.9.24","토요일",1016,7411.859431,-0.05
"2016.9.26","월요일",1044,7490,0.0552070263
"2016.9.27","화요일",1074,7550,0.0364500792
"2016.9.28","수요일",1110,7490,0.00429553265
"2016.9.29","목요일",929,7400,0.0186234818
"2016.9.30","금요일",1064,7210,0
"2016.10.1","토요일",957,7168.686118,0.0689013035
"2016.10.3","월요일",1191,7241.232781,-0.0191846523
"2016.10.4","화요일",1151,7290,0.0612449799
"2016.10.5","수요일",1150,7270,-0.0166551006
"2016.10.6","목요일",1210,7360,0.012345679
"2016.10.7","금요일",1230,7350,0.0617283951
"2016.10.8","토요일",1321,7294.06552,0.0965517241
"2016.10.10","월요일",1224,7300,0.0807926829
"2016.10.11","화요일",1328,7380,-0.00332778702
"2016.10.12","수요일",1398,7340,0.00589970501
"2016.10.13","목요일",1308,7310,0.16
"2016.10.14","금요일",1149,7290,0.0795660036
"2016.10.15","토요일",921,7462.075677,0.0769230769
"2016.10.17","월요일",1371,7560,0.00492610837
"2016.10.18","화요일",1113,7410,0.00452488688
"2016.10.19","수요일",1232,7480,0.017699115
"2016.10.20","목요일",1299,7520,0.0428360414
"2016.10.21","금요일",1220,7590,0.0178571429
"2016.10.22","토요일",1058,7623.787318,0
"2016.10.24","월요일",1259,7540,0.0617760618
"2016.10.25","화요일",1115,7350,0.0657534247
"2016.10.26","수요일",1167,7270,0.0487804878
"2016.10.27","목요일",1076,7220,0.0993031359
"2016.10.28","금요일",1188,7140,0.0417633411
"2016.10.29","토요일",1003,6914.021468,0.0576923077
"2016.10.31","월요일",1392,6760,0.0962241169
"2016.11.1","화요일",1365,6780,0.198156682
"2016.11.2","수요일",1239,6600,0.0346153846
"2016.11.3","목요일",1294,6710,0.0733104238
"2016.11.4","금요일",1301,6640,0.0196721311
"2016.11.5","토요일",1347,6589.366807,0.0251572327
"2016.11.7","월요일",1516,6730,0.151093439
"2016.11.8","화요일",1455,6920,-0.00618811881
"2016.11.9","수요일",1606,6650,0.0861111111
"2016.11.10","목요일",1540,6840,0.0759493671
"2016.11.11","금요일",1583,6870,0.027607362
"2016.11.12","토요일",1246,6893.848741,-0.0535714286
"2016.11.14","월요일",1481,6900,0
"2016.11.15","화요일",1639,6790,0.00933125972
"2016.11.16","수요일",1502,6690,-0.0300230947
"2016.11.17","목요일",1802,6770,0.0817843866
"2016.11.18","금요일",1429,6900,0.0707395498
"2016.11.19","토요일",1207,7092.100478,0.0816326531
"2016.11.21","월요일",1488,7240,0.0392156863
"2016.11.22","화요일",1549,7240,0.127795527
"2016.11.23","수요일",1371,7140,0.107644306
"2016.11.24","목요일",1507,7040,0.211180124
"2016.11.25","금요일",1504,7360,0.0692307692
"2016.11.26","토요일",1264,7341.465026,-0.04
"2016.11.28","월요일",1641,7130,0.0687919463
"2016.11.29","화요일",1647,7060,-0.085106383
"2016.11.30","수요일",2000,7070,-0.015
"2016.12.1","목요일",1619,7350,0.0696798493
"2016.12.2","금요일",1537,7290,-0.0566037736
"2016.12.3","토요일",1526,7162.908663,0
"2016.12.5","월요일",1754,7140,0.06
"2016.12.6","화요일",1705,7210,0.107843137
"2016.12.7","수요일",1568,7180,0.102150538
"2016.12.8","목요일",1531,7160,0.0423076923
"2016.12.9","금요일",1702,7080,0.164634146
"2016.12.10","토요일",1315,7037.085148,0.0754716981
"2016.12.12","월요일",1563,7120,0.0303030303
"2016.12.13","화요일",1625,7240,0.0557620818
"2016.12.14","수요일",1563,7050,0.0590909091
"2016.12.15","목요일",1334,7100,0.091796875
"2016.12.16","금요일",1646,6930,0.115646259
"2016.12.17","토요일",1392,6926.041862,-0.0188679245
"2016.12.19","월요일",1911,6990,0.0913242009
"2016.12.20","화요일",2042,6930,-0.025
"2016.12.21","수요일",1552,6930,0.0121212121
"2016.12.22","목요일",1810,6930,0.0106382979
"2016.12.23","금요일",1881,6980,-0.00666666667
"2016.12.24","토요일",920,7008.589992,-0.156862745
"2016.12.26","월요일",2097,7040,0.196296296
"2016.12.27","화요일",2064,7100,0.0118343195
"2016.12.28","수요일",1929,7120,-0.0338164251
"2016.12.29","목요일",1838,7150,-0.00892857143
"2016.12.30","금요일",1983,7116.24389,0.0869565217
"2016.12.31","토요일",1131,7047.122655,0.0935483871
"2017.1.2","월요일",1514,7010,0.0489296636
"2017.1.3","화요일",1748,7020,0.095049505
"2017.1.4","수요일",1641,6970,0.00376647834
"2017.1.5","목요일",1809,6970,0.0909090909
"2017.1.6","금요일",1840,6970,0.137096774
"2017.1.7","토요일",1520,7038.559691,-0.0357142857
"2017.1.9","월요일",1704,7080,0.108
"2017.1.10","화요일",1685,7020,0.0210280374
"2017.1.11","수요일",1725,7010,-0.0943396226
"2017.1.12","목요일",1704,7000,-0.0526315789
"2017.1.13","금요일",1817,7050,0.00164203612
"2017.1.14","토요일",1736,7037.42737,-0.00952380952
"2017.1.16","월요일",1618,7010,0.0674603175
"2017.1.17","화요일",1578,7030,0.0893371758
"2017.1.18","수요일",1588,7020,-0.0503355705
"2017.1.19","목요일",1483,7010,0.0789473684
"2017.1.20","금요일",1434,6950,-0.0745341615
"2017.1.21","토요일",1404,6937.625186,0.178571429
"2017.1.23","월요일",1232,6940,-0.012244898
"2017.1.24","화요일",1324,6910,-0.0422535211
"2017.1.25","수요일",1321,6910,0.0761904762
"2017.1.26","목요일",1391,6930,0.0646153846
"2017.1.27","금요일",931,6925.232566,0.0175438596
"2017.1.31","화요일",1117,6910,0.0894039735
"2017.2.1","수요일",1425,6910,0.0773480663
"2017.2.2","목요일",1647,6910,0.0046728972
"2017.2.3","금요일",1460,6860,0.0943396226
"2017.2.4","토요일",1429,6852.725338,-0.173076923
"2017.2.6","월요일",1287,6830,0.0496350365
"2017.2.7","화요일",1180,6740,0.0852390852
"2017.2.8","수요일",1272,6710,0.0468319559
"2017.2.9","목요일",1240,6710,0.169312169
"2017.2.10","금요일",1251,6660,0.0906735751
"2017.2.11","토요일",973,6633.826197,0.0372093023
"2017.2.13","월요일",1230,6680,0.138211382
"2017.2.14","화요일",1240,6780,0.00355871886
"2017.2.15","수요일",1177,6810,0.0372093023
"2017.2.16","목요일",1099,6860,0.099009901
"2017.2.17","금요일",1255,6800,0
"2017.2.18","토요일",1007,6763.207629,0.126213592
"2017.2.20","월요일",1092,6770,0.111324376
"2017.2.21","화요일",975,6780,-0.0268817204
"2017.2.22","수요일",937,6790,0.0697674419
"2017.2.23","목요일",970,6910,0.14
"2017.2.24","금요일",880,6920,0.112244898
"2017.2.25","토요일",1014,6909.409484,0.0517241379
"2017.2.27","월요일",1046,6920,0.0509803922
"2017.2.28","화요일",1208,6940,0
"2017.3.1","수요일",955,6940,0.0707964602
"2017.3.2","목요일",963,6930,0.0335731415
"2017.3.3","금요일",987,6810,0.140625
"2017.3.4","토요일",980,6802.6795,0.151515152
"2017.3.6","월요일",1000,6850,-0.0287356322
"2017.3.7","화요일",904,6840,-0.073015873
"2017.3.8","수요일",896,6830,-0.121212121
"2017.3.9","목요일",954,6850,-0.0918367347
"2017.3.10","금요일",962,6890,0.0837438424
"2017.3.11","토요일",1038,6903.054176,0.027027027
"2017.3.13","월요일",971,6890,0.131578947
"2017.3.14","화요일",924,6860,0.0261437908
"2017.3.15","수요일",892,6810,0.103004292
"2017.3.16","목요일",949,6770,0
"2017.3.17","금요일",1148,6730,0.038961039
"2017.3.18","토요일",914,6727.04612,0
"2017.3.20","월요일",900,6750,0
"2017.3.21","화요일",824,6760,-0.00947867299
"2017.3.22","수요일",798,6740,0
"2017.3.23","목요일",906,6790,-0.0630630631
"2017.3.24","금요일",840,6720,0.0188679245
"2017.3.25","토요일",987,6729.930462,0.0467836257
"2017.3.27","월요일",846,6750,0.0121212121
"2017.3.28","화요일",812,6710,0.129032258
"2017.3.29","수요일",981,6790,0.171597633
"2017.3.30","목요일",1023,6750,0.0586797066
"2017.3.31","금요일",933,6760,0.157407407
"2017.4.1","토요일",996,6804.1407,-0.0181818182
"2017.4.3","월요일",909,6820,0
"2017.4.4","화요일",873,6800,0.0740740741
"2017.4.5","수요일",904,6830,0.0555555556
"2017.4.6","목요일",872,6800,0.0612244898
"2017.4.7","금요일",844,6790,0.175438596
"2017.4.8","토요일",974,6734.383765,0
"2017.4.10","월요일",1349,6660,-0.133333333
"2017.4.11","화요일",1269,6620,-0.00943396226
"2017.4.12","수요일",1292,6620,0.054313099
"2017.4.13","목요일",1206,6640,0.0582959641
"2017.4.14","금요일",1159,6590,0.0399002494
"2017.4.15","토요일",978,6616.277322,0.153846154
"2017.4.17","월요일",1176,6670,-0.0769230769
"2017.4.18","화요일",1058,6670,0.0609756098
"2017.4.19","수요일",868,6660,0.067961165
"2017.4.20","목요일",968,6640,-0.0301204819
"2017.4.21","금요일",875,6660,-0.0295857988
"2017.4.22","토요일",922,6663.540347,0
"2017.4.24","월요일",919,6650,0
"2017.4.25","화요일",828,6640,0.027027027
"2017.4.26","수요일",856,6620,0.0136363636
"2017.4.27","목요일",824,6550,0.0865384615
"2017.4.28","금요일",823,6570,0.126482213
"2017.4.29","토요일",741,6616.663981,0
"2017.5.1","월요일",886,6658.335845,-0.05625
"2017.5.2","화요일",976,6690,0.0310077519
"2017.5.3","수요일",879,6707.485504,0.072
"2017.5.4","목요일",909,6710,0.0882352941
"2017.5.5","금요일",880,6698.772061,0.0442477876
"2017.5.6","토요일",833,6679.735397,0.0559006211
"2017.5.8","월요일",960,6660,-0.046728972
"2017.5.9","화요일",956,6660,0.392857143
"2017.5.10","수요일",928,6710,0.107368421
"2017.5.11","목요일",910,6740,0.025477707
"2017.5.12","금요일",855,6810,0.215116279
"2017.5.13","토요일",839,6817.070203,0.046728972
"2017.5.15","월요일",967,6780,-0.0102739726
"2017.5.16","화요일",854,6820,0.183486239
"2017.5.17","수요일",960,7080,-0.0161290323
"2017.5.18","목요일",827,7140,0.129770992
"2017.5.19","금요일",857,7080,-0.04
"2017.5.20","토요일",758,7073.637252,0.133333333
"2017.5.22","월요일",986,7070,0
"2017.5.23","화요일",886,7080,0.01937046
"2017.5.24","수요일",858,7330,0.0785714286
"2017.5.25","목요일",835,7420,0.0721649485
"2017.5.26","금요일",896,7570,0.0450606586
"2017.5.27","토요일",740,7697.779969,0
"2017.5.29","월요일",992,7730,0.18
"2017.5.30","화요일",866,7650,0.076433121
"2017.5.31","수요일",1049,7540,0.171957672
"2017.6.1","목요일",899,7540,0
"2017.6.2","금요일",911,7540,-0.0652173913
"2017.6.3","토요일",961,7517.648107,0
"2017.6.5","월요일",876,7530,0.0962566845
"2017.6.6","화요일",852,7619.485246,-0.0693641618
"2017.6.7","수요일",931,7730,0.0534591195
"2017.6.8","목요일",948,7810,-0.0784313725
"2017.6.9","금요일",942,7860,0.0198019802
"2017.6.10","토요일",898,7747.267478,0.018115942
"2017.6.12","월요일",946,7660,-0.033492823
"2017.6.13","화요일",918,7730,0.0955414013
"2017.6.14","수요일",882,7670,0.0318021201
"2017.6.15","목요일",893,7710,0.14479638
"2017.6.16","금요일",860,7840,-0.0291262136
"2017.6.17","토요일",866,7866.994921,0.13
"2017.6.19","월요일",979,7830,-0.11
"2017.6.20","화요일",921,7810,0.176156584
"2017.6.21","수요일",887,7790,-0.0334029228
"2017.6.22","목요일",880,7750,0.145962733
"2017.6.23","금요일",968,7690,0.0367170626
"2017.6.24","토요일",888,7608.336568,0.0816326531
"2017.6.26","월요일",898,7590,0.044973545
"2017.6.27","화요일",853,7660,0.0662100457
"2017.6.28","수요일",837,7650,0.131578947
"2017.6.29","목요일",834,7740,0.108490566
"2017.6.30","금요일",931,7760,-0.113207547
"2017.7.1","토요일",882,7644.558428,0.091954023
"2017.7.3","월요일",939,7710,0.0853658537
"2017.7.4","화요일",861,8100,0.357142857
"2017.7.5","수요일",919,8200,0
"2017.7.6","목요일",859,8150,0.110325318
"2017.7.7","금요일",891,8050,0.0363636364
"2017.7.8","토요일",749,8042.203665,0
"2017.7.10","월요일",943,8000,0.254545455
"2017.7.11","화요일",867,7870,0.0830564784
"2017.7.12","수요일",878,7900,0.0819672131
"2017.7.13","목요일",890,7620,0.0588235294
"2017.7.14","금요일",851,7540,0.116438356
"2017.7.15","토요일",755,7581.130128,0
"2017.7.17","월요일",949,7500,0.0568181818
"2017.7.18","화요일",840,7260,0.104651163
"2017.7.19","수요일",818,7310,0.113636364
"2017.7.20","목요일",818,7360,-0.0163339383
"2017.7.21","금요일",846,7320,0.0320512821
"2017.7.22","토요일",854,7300.902634,0
"2017.7.24","월요일",850,7200,0.0818181818
"2017.7.25","화요일",860,7020,0
"2017.7.26","수요일",820,7140,0.0740740741
"2017.7.27","목요일",793,7150,0.0751445087
"2017.7.28","금요일",789,7150,-0.0183486239
"2017.7.29","토요일",824,7042.041961,-0.068627451
"2017.7.31","월요일",941,7110,0.136986301
"2017.8.1","화요일",796,7480,0.0849315068
"2017.8.2","수요일",792,7510,0.0202020202
"2017.8.3","목요일",800,7610,0.00970873786
"2017.8.4","금요일",789,7810,-0.0566037736
"2017.8.5","토요일",714,8067.942671,0.0208333333
"2017.8.7","월요일",772,8100,0.0355731225
"2017.8.8","화요일",834,7750,0.0933333333
"2017.8.9","수요일",787,7540,0.0245614035
"2017.8.10","목요일",796,7590,0.0879828326
"2017.8.11","금요일",811,7590,0.0459016393
"2017.8.12","토요일",709,7526.530176,0.0634920635
"2017.8.14","월요일",862,7500,0.186335404
"2017.8.15","화요일",831,7571.587681,0
"2017.8.16","수요일",845,7630,-0.017699115
"2017.8.17","목요일",1000,7550,0
"2017.8.18","금요일",802,7380,0.0101522843
"2017.8.19","토요일",745,7341.829745,0.0183486239
"2017.8.21","월요일",861,7380,0.104395604
"2017.8.22","화요일",852,7350,0.0785714286
"2017.8.23","수요일",842,7200,0.00183150183
"2017.8.24","목요일",832,7230,-0.0035335689
"2017.8.25","금요일",862,7390,0.0231481481
"2017.8.26","토요일",859,7393.957603,0.0377358491
"2017.8.28","월요일",936,7340,0.022556391
"2017.8.29","화요일",904,7340,-0.0749542962
"2017.8.30","수요일",859,7250,-0.0228571429
"2017.8.31","목요일",1103,7260,0.121673004
"2017.9.1","금요일",953,7290,-0.0668523677
"2017.9.2","토요일",975,7277.926915,-0.111111111
"2017.9.4","월요일",1110,7230,0.0269230769
"2017.9.5","화요일",994,7180,0.08
"2017.9.6","수요일",1184,7190,0.0123839009
"2017.9.7","목요일",1102,7180,0.100823045
