"date","요일","가격","중국화폐종가","당근거래량","당근_강수량_지속영향_size15","daedong_stock","etf","서울대_s2"
"2016.1.4","월요일",794,182.14,558950.2,NA,9130,6260,0.211180124
"2016.1.5","화요일",763,182.57,444353.7,NA,9100,6180,0.311161218
"2016.1.6","수요일",787,183.1,396170.4,NA,9030,6155,0.287356322
"2016.1.7","목요일",770,181.6,241115,NA,9040,6125,0.298013245
"2016.1.8","금요일",705,183.12,359789,NA,8930,6220,0.28
"2016.1.9","토요일",728,183.6833815,252760,NA,8942.675428,6260.450521,0.301282051
"2016.1.11","월요일",750,183.38,466766,NA,8940,6215,0.275510204
"2016.1.12","화요일",735,184.15,396646.5,NA,8880,6150,0.204633205
"2016.1.13","수요일",706,184.06,314062,NA,9200,6180,0.251612903
"2016.1.14","목요일",692,183.26,349016,NA,9190,6190,0.210045662
"2016.1.15","금요일",748,184.49,296235.8,NA,9290,6205,0.257861635
"2016.1.16","토요일",733,183.792735,256431.8,NA,9370.89873,6222.237355,0.192982456
"2016.1.18","월요일",875,184.16,478153.6,NA,9300,6230,0.27638191
"2016.1.19","화요일",809,183.55,179968,NA,9090,6240,0.280373832
"2016.1.20","수요일",805,183.82,306456.5,0.875928251,8940,6270,0.346405229
"2016.1.21","목요일",829,182.94,206349,0.92393722,8770,6200,0.12962963
"2016.1.22","금요일",840,182.03,199165.7,0.383443946,8790,6250,0.219895288
"2016.1.23","토요일",778,182.80316,269055.6,0.943901345,8918.650476,6295.516982,0.266666667
"2016.1.25","월요일",813,182.34,448616,1.044134529,8940,6275,0.2039801
"2016.1.26","화요일",808,182.03,258761,1.044493274,8750,6215,0.284313725
"2016.1.27","수요일",847,183.76,229203,0.936825112,8620,6230,0.235849057
"2016.1.28","목요일",831,183.69,313315,4.14129148,8650,6225,0.248407643
"2016.1.29","금요일",877,183.71,421575,7.986035874,9000,6180,0.231818182
"2016.1.30","토요일",873,182.3987751,246168,8.29658296,8954.516327,6193.166422,0.192307692
"2016.2.1","월요일",889,182.84,442818,8.366035874,8790,6220,0.265243902
"2016.2.2","화요일",873,184.28,443468.6,7.831721973,8880,6200,0.331154684
"2016.2.3","수요일",846,182.63,548153.8,8.260295964,8870,6190,0.245810056
"2016.2.4","목요일",815,181.56,541741,8.240170404,8910,6230,0.218918919
"2016.2.5","금요일",821,183.5,378645,8.044313901,9010,6185,0.198412698
"2016.2.6","토요일",842,183.9260245,105463,5.002511211,9155.477703,6140.072028,0.211538462
"2016.2.10","수요일",0,180.88,0,4.612251121,9186.565904,6122.463705,0.222222222
"2016.2.11","목요일",878,182.64,153606,7.874672646,8900,6125,0.260416667
"2016.2.12","금요일",838,183.61,428900.7,15.412,8330,6140,0.231343284
"2016.2.13","토요일",815,185.6300552,275214,18.96443049,8181.497334,6156.750824,0.148148148
"2016.2.15","월요일",821,187,368124,19.0466278,8280,6160,0.297142857
"2016.2.16","화요일",827,187.03,319259.6,19.0850852,8270,6140,0.101694915
"2016.2.17","수요일",891,187.53,272753,15.78709417,8230,6125,0.288135593
"2016.2.18","목요일",834,188.53,310835,11.90806278,8330,6150,0.260330579
"2016.2.19","금요일",798,189.18,363802.6,12.0130852,8290,6130,0
"2016.2.20","토요일",786,187.8829459,290680,12.01357848,8323.723357,6131.604364,0
"2016.2.22","월요일",793,187.69,415940,4.838224215,8390,6145,0.301229508
"2016.2.23","화요일",804,188.75,408184.8,8.978134529,8390,6140,0.280155642
"2016.2.24","수요일",809,188.73,331893,12.64686996,8370,6130,0.306216424
"2016.2.25","목요일",785,189.06,321426.4,12.69999103,8270,6110,0.317016317
"2016.2.26","금요일",796,190.07,411365,12.51786547,8290,6090,0.224390244
"2016.2.27","토요일",774,188.4233545,301911.5,12.60595516,8126.280089,6077.54812,0.282894737
"2016.2.29","월요일",833,188.93,533986.4,12.42159641,7910,6065,0.277929155
"2016.3.1","화요일",760,187.62,469619,4.919085202,7872.230183,6046.228529,0.234567901
"2016.3.2","수요일",810,187.01,387317,0.810780269,8010,6035,0.329073482
"2016.3.3","목요일",859,185.57,289554,1.315596413,8200,6055,0.218309859
"2016.3.4","금요일",827,184.16,341462,3.037237668,8200,6120,0.196261682
"2016.3.5","토요일",808,186.1675661,226038,11.22606278,8166.208306,6154.300168,0.229166667
"2016.3.7","월요일",837,184.12,337159.6,11.16718386,8170,6150,0.277272727
