date,요일,가격,대파_가중_강수량
2016.1.4,월요일,1716,0
2016.1.5,화요일,1715,1.099618029
2016.1.6,수요일,1620,0
2016.1.7,목요일,1545,0
2016.1.8,금요일,1488,0.069200407
2016.1.9,토요일,1433,0
2016.1.11,월요일,1323,0
2016.1.12,화요일,1321,0.016590272
2016.1.13,수요일,1263,1.100891266
2016.1.14,목요일,1361,0.143786606
2016.1.15,금요일,1335,0.0710466
2016.1.16,토요일,1339,0.025210084
2016.1.18,월요일,1403,1.169404125
2016.1.19,화요일,1777,1.584033613
2016.1.20,수요일,1894,0.041303794
2016.1.21,목요일,1841,0.011229947
2016.1.22,금요일,1724,0
2016.1.23,토요일,1959,2.198637637
2016.1.25,월요일,2499,0.74671505
2016.1.26,화요일,2333,0.106850013
2016.1.27,수요일,2460,0
2016.1.28,목요일,2638,9.723885918
2016.1.29,금요일,2830,9.720932009
2016.1.30,토요일,2707,0.726203209
2016.2.1,월요일,2808,0.005614973
2016.2.2,화요일,2756,0
2016.2.3,수요일,2664,0
2016.2.4,목요일,2855,0
2016.2.5,금요일,2990,0
2016.2.6,토요일,2550,0.748472116
2016.2.10,수요일,1716,0
2016.2.11,목요일,2136,0.33789152
2016.2.12,금요일,2187,25.90932009
2016.2.13,토요일,1971,12.9421314
2016.2.15,월요일,1627,0.422956455
2016.2.16,화요일,1882,0.487751464
2016.2.17,수요일,2080,0.041303794
2016.2.18,목요일,2217,0.054991087
2016.2.19,금요일,2145,0.062133944
2016.2.20,토요일,2260,0.013330787
2016.2.22,월요일,2247,0.154494525
2016.2.23,화요일,2277,0.214272982
2016.2.24,수요일,2151,0.385816145
2016.2.25,목요일,2000,0
2016.2.26,금요일,1988,0.674586198
2016.2.27,토요일,1873,1.024879043
2016.2.29,월요일,1985,0.400687548
2016.3.1,화요일,2090,0
2016.3.2,수요일,2045,0
2016.3.3,목요일,2067,0.03368984
2016.3.4,금요일,2140,9.82083015
2016.3.5,토요일,2262,32.3193532
2016.3.7,월요일,2164,0
2016.3.8,화요일,2045,6.025044563
2016.3.9,수요일,2007,3.502521008
2016.3.10,목요일,2032,0.050560224
2016.3.11,금요일,1974,0
2016.3.12,토요일,1870,0
2016.3.14,월요일,1843,0.078558696
2016.3.15,화요일,1938,0
2016.3.16,수요일,1878,0
2016.3.17,목요일,1958,0.37868602
2016.3.18,금요일,1929,9.584173669
2016.3.19,토요일,1814,0
2016.3.21,월요일,1577,0
2016.3.22,화요일,1662,0
2016.3.23,수요일,1549,0.541520244
2016.3.24,목요일,1616,0.10118411
2016.3.25,금요일,1466,0.128405908
2016.3.26,토요일,1409,0.131168831
2016.3.28,월요일,1627,0
2016.3.29,화요일,1884,0.072345302
2016.3.30,수요일,1831,0
2016.3.31,목요일,1815,0.001871658
2016.4.1,금요일,1592,0
2016.4.2,토요일,1549,0
2016.4.4,월요일,1652,1.338057041
2016.4.5,화요일,1646,0
2016.4.6,수요일,1679,14.25537306
2016.4.7,목요일,1706,18.93818436
2016.4.8,금요일,1935,0
