date,요일,가격,대파거래량,대파_가중_강수량,군산대_s1
2016.1.4,월요일,1716,994328.1,0,0.4
2016.1.5,화요일,1715,787716,1.099618029,0.841584158
2016.1.6,수요일,1620,793584.9,0,0.545454545
2016.1.7,목요일,1545,733312,0,0.454545455
2016.1.8,금요일,1488,797767.3,0.069200407,0.647058824
2016.1.9,토요일,1433,739213,0,0.636363636
2016.1.11,월요일,1323,904317.5,0,0.2
2016.1.12,화요일,1321,773384.3,0.016590272,0.375
2016.1.13,수요일,1263,657071.5,1.100891266,0.166666667
2016.1.14,목요일,1361,583850.6,0.143786606,0.263157895
2016.1.15,금요일,1335,678290.4,0.0710466,0.692307692
2016.1.16,토요일,1339,611784.6,0.025210084,-1
2016.1.18,월요일,1403,755733.9,1.169404125,0.625
2016.1.19,화요일,1777,529474.1,1.584033613,0.6
2016.1.20,수요일,1894,569452.9,0.041303794,0.833333333
2016.1.21,목요일,1841,557564,0.011229947,0.333333333
2016.1.22,금요일,1724,598422.6,0,1
2016.1.23,토요일,1959,600638,2.198637637,1
2016.1.25,월요일,2499,579110.2,0.74671505,0.6
2016.1.26,화요일,2333,547262.1,0.106850013,0.4
2016.1.27,수요일,2460,551575.4,0,0.777777778
2016.1.28,목요일,2638,519336.6,9.723885918,1
2016.1.29,금요일,2830,626963.3,9.720932009,-0.0434782609
2016.1.30,토요일,2707,745377.4,0.726203209,1
2016.2.1,월요일,2808,963747.4,0.005614973,0.217391304
2016.2.2,화요일,2756,758910,0,0.909090909
2016.2.3,수요일,2664,873423.4,0,0.923076923
2016.2.4,목요일,2855,779112.3,0,0.6
2016.2.5,금요일,2990,901355.1,0,0.473684211
2016.2.6,토요일,2550,909954.9,0.748472116,-0.333333333
2016.2.10,수요일,1716,2432,0,1
2016.2.11,목요일,2136,700731.7,0.33789152,1
2016.2.12,금요일,2187,568000.8,25.90932009,0.692307692
2016.2.13,토요일,1971,696799.1,12.9421314,0
2016.2.15,월요일,1627,861391.4,0.422956455,0.666666667
2016.2.16,화요일,1882,561292.9,0.487751464,0
2016.2.17,수요일,2080,570204.2,0.041303794,0.921568627
2016.2.18,목요일,2217,622814.1,0.054991087,0.818181818
2016.2.19,금요일,2145,730131.8,0.062133944,NA
2016.2.20,토요일,2260,769616.2,0.013330787,NA
2016.2.22,월요일,2247,788692.3,0.154494525,0.657142857
2016.2.23,화요일,2277,708152.5,0.214272982,0.846153846
2016.2.24,수요일,2151,731673.5,0.385816145,0.835443038
2016.2.25,목요일,2000,628159.8,0,0.8
2016.2.26,금요일,1988,701666.3,0.674586198,0.125
2016.2.27,토요일,1873,669296.4,1.024879043,0.6
2016.2.29,월요일,1985,780282.5,0.400687548,0.666666667
2016.3.1,화요일,2090,629883.8,0,0.555555556
2016.3.2,수요일,2045,667019.6,0,0.578947368
2016.3.3,목요일,2067,643910.9,0.03368984,0.555555556
2016.3.4,금요일,2140,678520.6,9.82083015,1
2016.3.5,토요일,2262,681986.4,32.3193532,1
2016.3.7,월요일,2164,832487.3,0,1
2016.3.8,화요일,2045,728855.1,6.025044563,0.945205479
2016.3.9,수요일,2007,698994,3.502521008,0.0909090909
2016.3.10,목요일,2032,646020.8,0.050560224,0.666666667
2016.3.11,금요일,1974,722900.8,0,0.555555556
2016.3.12,토요일,1870,726080.7,0,NA
2016.3.14,월요일,1843,829915.6,0.078558696,0.4
2016.3.15,화요일,1938,702816.4,0,0.875
2016.3.16,수요일,1878,680644.9,0,0.428571429
2016.3.17,목요일,1958,705685.6,0.37868602,0.0909090909
2016.3.18,금요일,1929,710179.6,9.584173669,0.75
2016.3.19,토요일,1814,711700.9,0,1
2016.3.21,월요일,1577,843413.3,0,0.6
2016.3.22,화요일,1662,687034.6,0,0.565217391
2016.3.23,수요일,1549,743489.5,0.541520244,0.882352941
2016.3.24,목요일,1616,653269.6,0.10118411,0
2016.3.25,금요일,1466,721061.4,0.128405908,0.333333333
2016.3.26,토요일,1409,667041.5,0.131168831,NA
2016.3.28,월요일,1627,689665.6,0,1
2016.3.29,화요일,1884,633544,0.072345302,0.75
2016.3.30,수요일,1831,637577.6,0,1
2016.3.31,목요일,1815,652826.7,0.001871658,0
2016.4.1,금요일,1592,688855.3,0,0.5
2016.4.2,토요일,1549,653035.1,0,1
2016.4.4,월요일,1652,726274.7,1.338057041,0.583333333
2016.4.5,화요일,1646,651358,0,0.666666667
2016.4.6,수요일,1679,664197,14.25537306,0.684210526
2016.4.7,목요일,1706,664716.5,18.93818436,0
2016.4.8,금요일,1935,555891.9,0,0.8
2016.4.9,토요일,1666,636846.5,0.034708429,0.333333333
2016.4.11,월요일,1846,755185.7,0.116832187,0.5
2016.4.12,화요일,1845,629117.1,1.040603514,0.75
2016.4.13,수요일,1694,666166.6,13.32691622,0.333333333
2016.4.14,목요일,1770,583153,0,0.928571429
2016.4.15,금요일,1654,647853.4,0,0.466666667
2016.4.16,토요일,1575,653884.5,37.71070792,NA
2016.4.18,월요일,1593,728405.9,1.381856379,0.166666667
2016.4.19,화요일,1674,634998.9,0.015711739,0.333333333
2016.4.20,수요일,1555,663802.1,1.019200407,0.384615385
2016.4.21,목요일,1605,648601.4,30.18152534,0.333333333
2016.4.22,금요일,1537,618366.6,0,1
2016.4.23,토요일,1403,665541.2,0.043048128,1
2016.4.25,월요일,1432,742280.3,0,NA
2016.4.26,화요일,1456,639570.2,3.340832697,0.8
2016.4.27,수요일,1451,626974.7,30.7210848,0.333333333
2016.4.28,목요일,1496,549751.1,3.334313725,0.833333333
2016.4.29,금요일,1590,547556.3,0.050585689,0.5
