date,요일,가격,유가,대파_가중_강수량,군산대_s1
2016.1.4,월요일,1716,37.22,0,0.4
2016.1.5,화요일,1715,36.42,1.099618029,0.841584158
2016.1.6,수요일,1620,34.23,0,0.545454545
2016.1.7,목요일,1545,33.75,0,0.454545455
2016.1.8,금요일,1488,33.55,0.069200407,0.647058824
2016.1.9,토요일,1433,32.55809794,0,0.636363636
2016.1.11,월요일,1323,31.55,0,0.2
2016.1.12,화요일,1321,30.86,0.016590272,0.375
2016.1.13,수요일,1263,30.31,1.100891266,0.166666667
2016.1.14,목요일,1361,31.03,0.143786606,0.263157895
2016.1.15,금요일,1335,28.94,0.0710466,0.692307692
2016.1.16,토요일,1339,28.69199097,0.025210084,-1
2016.1.18,월요일,1403,28.55,1.169404125,0.625
2016.1.19,화요일,1777,28.76,1.584033613,0.6
2016.1.20,수요일,1894,27.88,0.041303794,0.833333333
2016.1.21,목요일,1841,29.25,0.011229947,0.333333333
2016.1.22,금요일,1724,32.18,0,1
2016.1.23,토요일,1959,31.10455484,2.198637637,1
2016.1.25,월요일,2499,30.5,0.74671505,0.6
2016.1.26,화요일,2333,31.8,0.106850013,0.4
2016.1.27,수요일,2460,33.1,0,0.777777778
2016.1.28,목요일,2638,33.89,9.723885918,1
2016.1.29,금요일,2830,34.74,9.720932009,-0.0434782609
2016.1.30,토요일,2707,34.08528634,0.726203209,1
2016.2.1,월요일,2808,34.24,0.005614973,0.217391304
2016.2.2,화요일,2756,32.72,0,0.909090909
2016.2.3,수요일,2664,35.04,0,0.923076923
2016.2.4,목요일,2855,34.46,0,0.6
2016.2.5,금요일,2990,34.06,0,0.473684211
2016.2.6,토요일,2550,32.85055571,0.748472116,-0.333333333
2016.2.10,수요일,1716,30.84,0,1
2016.2.11,목요일,2136,30.06,0.33789152,1
2016.2.12,금요일,2187,33.36,25.90932009,0.692307692
2016.2.13,토요일,1971,32.70687215,12.9421314,0
2016.2.15,월요일,1627,33.39,0.422956455,0.666666667
2016.2.16,화요일,1882,32.18,0.487751464,0
2016.2.17,수요일,2080,34.5,0.041303794,0.921568627
2016.2.18,목요일,2217,34.28,0.054991087,0.818181818
2016.2.19,금요일,2145,33.01,0.062133944,NA
2016.2.20,토요일,2260,33.72814082,0.013330787,NA
2016.2.22,월요일,2247,34.69,0.154494525,0.657142857
2016.2.23,화요일,2277,33.27,0.214272982,0.846153846
2016.2.24,수요일,2151,34.41,0.385816145,0.835443038
2016.2.25,목요일,2000,35.29,0,0.8
2016.2.26,금요일,1988,35.1,0.674586198,0.125
2016.2.27,토요일,1873,35.81644753,1.024879043,0.6
2016.2.29,월요일,1985,35.97,0.400687548,0.666666667
2016.3.1,화요일,2090,36.81,0,0.555555556
2016.3.2,수요일,2045,36.93,0,0.578947368
2016.3.3,목요일,2067,37.07,0.03368984,0.555555556
2016.3.4,금요일,2140,38.72,9.82083015,1
2016.3.5,토요일,2262,38.70536868,32.3193532,1
2016.3.7,월요일,2164,40.84,0,1
2016.3.8,화요일,2045,39.65,6.025044563,0.945205479
2016.3.9,수요일,2007,41.07,3.502521008,0.0909090909
2016.3.10,목요일,2032,40.05,0.050560224,0.666666667
2016.3.11,금요일,1974,40.39,0,0.555555556
2016.3.12,토요일,1870,40.86261938,0,NA
2016.3.14,월요일,1843,39.53,0.078558696,0.4
2016.3.15,화요일,1938,38.74,0,0.875
2016.3.16,수요일,1878,40.33,0,0.428571429
2016.3.17,목요일,1958,41.54,0.37868602,0.0909090909
2016.3.18,금요일,1929,41.2,9.584173669,0.75
2016.3.19,토요일,1814,40.68008198,0,1
2016.3.21,월요일,1577,41.54,0,0.6
2016.3.22,화요일,1662,41.79,0,0.565217391
2016.3.23,수요일,1549,40.47,0.541520244,0.882352941
2016.3.24,목요일,1616,40.44,0.10118411,0
2016.3.25,금요일,1466,39.65709574,0.128405908,0.333333333
2016.3.26,토요일,1409,39.49873939,0.131168831,NA
2016.3.28,월요일,1627,40.27,0,1
2016.3.29,화요일,1884,39.14,0.072345302,0.75
2016.3.30,수요일,1831,39.26,0,1
2016.3.31,목요일,1815,39.6,0.001871658,0
2016.4.1,금요일,1592,38.67,0,0.5
2016.4.2,토요일,1549,39.57808698,0,1
2016.4.4,월요일,1652,37.69,1.338057041,0.583333333
2016.4.5,화요일,1646,37.87,0,0.666666667
2016.4.6,수요일,1679,39.84,14.25537306,0.684210526
2016.4.7,목요일,1706,39.43,18.93818436,0
2016.4.8,금요일,1935,41.94,0,0.8
2016.4.9,토요일,1666,41.28532347,0.034708429,0.333333333
2016.4.11,월요일,1846,42.83,0.116832187,0.5
2016.4.12,화요일,1845,44.69,1.040603514,0.75
2016.4.13,수요일,1694,44.18,13.32691622,0.333333333
2016.4.14,목요일,1770,43.84,0,0.928571429
2016.4.15,금요일,1654,43.1,0,0.466666667
2016.4.16,토요일,1575,44.02262691,37.71070792,NA
2016.4.18,월요일,1593,42.91,1.381856379,0.166666667
2016.4.19,화요일,1674,44.03,0.015711739,0.333333333
2016.4.20,수요일,1555,45.8,1.019200407,0.384615385
2016.4.21,목요일,1605,44.53,30.18152534,0.333333333
2016.4.22,금요일,1537,45.11,0,1
2016.4.23,토요일,1403,45.91976056,0.043048128,1
2016.4.25,월요일,1432,44.48,0,NA
2016.4.26,화요일,1456,45.74,3.340832697,0.8
2016.4.27,수요일,1451,47.18,30.7210848,0.333333333
2016.4.28,목요일,1496,48.14,3.334313725,0.833333333
2016.4.29,금요일,1590,48.13,0.050585689,0.5
2016.4.30,토요일,1866,45.87025124,0,1
2016.5.2,월요일,1836,45.83,12.74828113,0.2
2016.5.3,화요일,1837,44.97,29.63866819,0.6
2016.5.4,수요일,1888,44.62,0.163496308,0.6
2016.5.5,목요일,1669,45.01,1.69096002,NA
2016.5.6,금요일,1484,45.37,3.195798319,1
2016.5.7,토요일,1422,45.90897674,0,NA
2016.5.9,월요일,1560,43.63,0.516883117,0.842105263
2016.5.10,화요일,1699,45.52,21.57384772,0.636363636
2016.5.11,수요일,1687,47.6,0.487547746,0.333333333
2016.5.12,목요일,1554,48.08,0,1
2016.5.13,금요일,1506,47.83,0.059103641,0.941176471
2016.5.14,토요일,1430,47.43558304,0,0.333333333
2016.5.16,월요일,1475,48.97,4.991431118,0.534883721
2016.5.17,화요일,1466,49.28,0,0.76
2016.5.18,수요일,1395,48.93,0,0.789473684
2016.5.19,목요일,1303,48.81,0,0.142857143
2016.5.20,금요일,1268,48.72,0,0.142857143
2016.5.21,토요일,1173,49.14469827,0,NA
2016.5.23,월요일,1368,48.35,0.017354214,0.625
2016.5.24,화요일,1572,48.61,25.2048001,0.703703704
2016.5.25,수요일,1734,49.74,0,0.673469388
2016.5.26,목요일,1534,49.59,0.068092692,0.733333333
2016.5.27,금요일,1352,49.32,0.318105424,0.555555556
2016.5.28,토요일,1467,50.05599849,1.141074612,NA
2016.5.30,월요일,1529,49.76,0,0.8
2016.5.31,화요일,1538,49.69,0,0.619047619
2016.6.1,수요일,1425,49.72,0,0.523809524
2016.6.2,목요일,1230,50.04,0.023567609,0.428571429
2016.6.3,금요일,1321,49.64,0.023567609,0.666666667
2016.6.4,토요일,1329,50.32651796,6.827336389,NA
2016.6.6,월요일,1443,50.55,0.465317036,0.266666667
2016.6.7,화요일,1377,51.44,0.526572447,0.407407407
2016.6.8,수요일,1274,52.51,0.594308633,0.742857143
2016.6.9,목요일,1241,51.95,0,0.836734694
2016.6.10,금요일,1143,50.54,0,0.947368421
2016.6.11,토요일,1206,50.21112824,2.164349376,0.666666667
2016.6.13,월요일,1229,50.35,0.094805195,0.555555556
2016.6.14,화요일,1141,49.83,0.407906799,0.674418605
2016.6.15,수요일,1137,48.97,5.516488414,0.578947368
2016.6.16,목요일,1149,47.19,0.619365928,0.142857143
2016.6.17,금요일,1088,49.17,0,0.538461538
2016.6.18,토요일,1053,49.93878622,1.604660046,NA
2016.6.20,월요일,1249,50.65,12.12818946,0.25
2016.6.21,화요일,1300,50.62,0.290590782,NA
2016.6.22,수요일,1242,49.88,12.36578813,0.428571429
2016.6.23,목요일,1151,50.91,0.098446651,NA
2016.6.24,금요일,1056,48.41,34.97206519,0.625
2016.6.25,토요일,1119,49.2114071,0,1
2016.6.27,월요일,1127,47.16,1.832785842,1
2016.6.28,화요일,989,48.58,1.664043799,0.6
2016.6.29,수요일,913,50.61,2.735103132,0.272727273
2016.6.30,목요일,911,49.68,1.013483575,0.454545455
2016.7.1,금요일,1025,50.35,62.80892539,0.857142857
2016.7.2,토요일,1201,48.63474028,28.4995671,0.333333333
2016.7.4,월요일,1298,50.1,39.38405908,0.818181818
2016.7.5,화요일,1260,47.96,46.04903234,0.285714286
2016.7.6,수요일,1061,48.8,16.19442322,0.333333333
