date,АЁАн
2020.9.7,2868
2020.9.8,2539
2020.9.9,2400
2020.9.10,2343
2020.9.11,2222
2020.9.12,2176
2020.9.14,2366
2020.9.15,2206
2020.9.16,2190
2020.9.17,2131
2020.9.18,2059
2020.9.19,2046
2020.9.21,2028
2020.9.22,2039
2020.9.23,2216
2020.9.24,2380
2020.9.25,2239
2020.9.26,2126
2020.9.28,2614
2020.9.29,2682
2020.9.30,2774
2020.10.5,2427
2020.10.6,2582
2020.10.7,2768
2020.10.8,2659
2020.10.9,2475
2020.10.10,2268
2020.10.12,2156
2020.10.13,2010
2020.10.14,1912
2020.10.15,1965
2020.10.16,2061
2020.10.17,2181
2020.10.19,2464
2020.10.20,2244
2020.10.21,2255
2020.10.22,2248
2020.10.23,2356
2020.10.24,2367
2020.10.26,2255
