"date","요일","가격","유가","김장","태풍","토마토_가중_강수량"
"2016.1.4","월요일",1834,37.22,5.52567,5.52567,0
"2016.1.5","화요일",1833,36.42,6.96821,6.96821,0.594520299
"2016.1.6","수요일",1999,34.23,6.99266,6.99266,0
"2016.1.7","목요일",1921,33.75,6.28361,6.28361,0
"2016.1.8","금요일",2107,33.55,6.69926,6.69926,0.054924449
"2016.1.9","토요일",2111,32.55809794,5.64792,5.64792,0
"2016.1.11","월요일",2170,31.55,5.77017,5.77017,0
"2016.1.12","화요일",2281,30.86,6.82151,6.82151,0.027871837
"2016.1.13","수요일",2488,30.31,5.99022,5.99022,0.911796832
"2016.1.14","목요일",2344,31.03,6.57701,6.57701,0.08470781
"2016.1.15","금요일",2436,28.94,5.99022,5.99022,0.048843983
"2016.1.16","토요일",2473,28.69199097,5.40342,5.40342,0.023375205
"2016.1.18","월요일",2513,28.55,8.3374,8.3374,1.13149463
"2016.1.19","화요일",2587,28.76,6.23471,6.23471,0.943036592
"2016.1.20","수요일",2498,27.88,6.18581,6.18581,0.024613144
"2016.1.21","목요일",2629,29.25,5.99022,5.99022,0.005243037
"2016.1.22","금요일",2752,32.18,6.84596,6.84596,0
"2016.1.23","토요일",2552,31.10455484,6.18581,6.18581,1.618769343
"2016.1.25","월요일",2640,30.5,3.59413,3.59413,0.391097761
"2016.1.26","화요일",2763,31.8,2.66503,2.66503,0.094192609
"2016.1.27","수요일",2831,33.1,3.20293,3.20293,0
"2016.1.28","목요일",2743,33.89,3.00733,3.00733,6.959949026
"2016.1.29","금요일",2999,34.74,3.39853,3.39853,8.589204442
"2016.1.30","토요일",2966,34.08528634,2.46943,2.46943,1.212215547
"2016.2.1","월요일",3089,34.24,3.00733,3.00733,0.002621518
"2016.2.2","화요일",2892,32.72,2.93398,2.93398,0
"2016.2.3","수요일",3176,35.04,2.71393,2.71393,0
"2016.2.4","목요일",3120,34.46,3.96088,3.96088,0
"2016.2.5","금요일",3168,34.06,6.67481,6.67481,0
"2016.2.6","토요일",2726,32.85055571,2.81173,2.81173,1.286673949
"2016.2.10","수요일",1752,30.84,1.90709,1.90709,0
"2016.2.11","목요일",2884,30.06,2.78728,2.78728,0.341653013
"2016.2.12","금요일",2543,33.36,2.07823,2.07823,23.55720007
"2016.2.13","토요일",2325,32.70687215,2.27383,2.27383,13.57138176
"2016.2.15","월요일",2588,33.39,2.51833,2.51833,0.289422902
"2016.2.16","화요일",2914,32.18,2.37163,2.37163,0.64649554
"2016.2.17","수요일",2634,34.5,2.17603,2.17603,0.024613144
"2016.2.18","목요일",2642,34.28,2.42053,2.42053,0.101310759
"2016.2.19","금요일",2674,33.01,1.78484,1.78484,0.039814309
"2016.2.20","토요일",2494,33.72814082,2.32273,2.32273,0.027562352
"2016.2.22","월요일",2763,34.69,2.78728,2.78728,0.073730202
"2016.2.23","화요일",2690,33.27,3.17848,3.17848,0.328636446
"2016.2.24","수요일",2750,34.41,2.37163,2.37163,0.665574367
"2016.2.25","목요일",2852,35.29,2.07823,2.07823,0
"2016.2.26","금요일",2796,35.1,2.66503,2.66503,0.832277444
"2016.2.27","토요일",2771,35.81644753,2.71393,2.71393,1.56879665
"2016.2.29","월요일",2925,35.97,2.81173,2.81173,0.284179865
"2016.3.1","화요일",2762,36.81,2.22493,2.22493,0
"2016.3.2","수요일",3054,36.93,1.54034,1.54034,0
"2016.3.3","목요일",3179,37.07,1.85819,1.85819,0.01572911
"2016.3.4","금요일",3147,38.72,1.68704,1.68704,9.409994539
"2016.3.5","토요일",3207,38.70536868,1.76039,1.76039,30.20682687
"2016.3.7","월요일",3375,40.84,2.29828,2.29828,0
"2016.3.8","화요일",3467,39.65,2.10268,2.10268,3.391498271
"2016.3.9","수요일",3511,41.07,2.49388,2.49388,3.309885309
"2016.3.10","목요일",3581,40.05,1.93154,1.93154,0.087930093
"2016.3.11","금요일",3649,40.39,2.49388,2.49388,0
"2016.3.12","토요일",3408,40.86261938,2.56723,2.56723,0
"2016.3.14","월요일",3387,39.53,1.80929,1.80929,0.144729656
"2016.3.15","화요일",3285,38.74,2.05378,2.05378,0
"2016.3.16","수요일",3351,40.33,2.68948,2.68948,0
