"date","요일","가격","토마토거래량","smartfarm_stock","서울대_s3"
"2016.1.4","월요일",1834,291057,10000,0.0461538462
"2016.1.5","화요일",1833,194626.5,9800,0.48787062
"2016.1.6","수요일",1999,178811,9700,0.239669421
"2016.1.7","목요일",1921,107346.3,10000,0.363636364
"2016.1.8","금요일",2107,190624,9800,0.276190476
"2016.1.9","토요일",2111,137028,9867.567713,0.146341463
"2016.1.11","월요일",2170,199396,10000,0.173913043
"2016.1.12","화요일",2281,170969,9800,0.06
"2016.1.13","수요일",2488,162336,9690,0.0263157895
"2016.1.14","목요일",2344,103103,10000,0.0337078652
"2016.1.15","금요일",2436,180422.8,10188.52818,0.123287671
"2016.1.16","토요일",2473,146096.4,10137.70407,-0.12
"2016.1.18","월요일",2513,171395,9900,0.235955056
"2016.1.19","화요일",2587,162940,9700,0.168831169
"2016.1.20","수요일",2498,156328.5,10000,0.23255814
"2016.1.21","목요일",2629,85548.7,9900,-0.391304348
"2016.1.22","금요일",2752,156445,9400,0.110132159
"2016.1.23","토요일",2552,136158,9477.905427,0.230769231
"2016.1.25","월요일",2640,144853.3,9800,-0.0574712644
"2016.1.26","화요일",2763,110429.5,9816.302323,-0.0491803279
"2016.1.27","수요일",2831,153214,9700,0.0638297872
"2016.1.28","목요일",2743,118587,9700,0.181818182
"2016.1.29","금요일",2999,183726,9700,0.172413793
"2016.1.30","토요일",2966,115350,9705.091603,0.0526315789
"2016.2.1","월요일",3089,183779,9800,0.191780822
"2016.2.2","화요일",2892,133900,10000,0.351111111
"2016.2.3","수요일",3176,160674,10077.84175,0.150326797
"2016.2.4","목요일",3120,117904,9970,-0.00613496933
"2016.2.5","금요일",3168,233384.5,9696.648564,-0.0131578947
"2016.2.6","토요일",2726,197174.2,9373.444712,0.157894737
"2016.2.10","수요일",1752,305,9139.916578,0.538461538
"2016.2.11","목요일",2884,184573,9135.592296,0.449275362
"2016.2.12","금요일",2543,388787.8,9500,0.0420168067
"2016.2.13","토요일",2325,193490.6,10198.52734,-0.333333333
"2016.2.15","월요일",2588,303740.5,10500,0.464788732
"2016.2.16","화요일",2914,261719,10000,-0.5
"2016.2.17","수요일",2634,235259,9859.802082,0.350180505
"2016.2.18","목요일",2642,190891,9990,0.161290323
"2016.2.19","금요일",2674,290897.5,10000,0
"2016.2.20","토요일",2494,245116.4,9993.404941,0
"2016.2.22","월요일",2763,300304,10000,0.27826087
"2016.2.23","화요일",2690,232827,10001.76713,0.252173913
"2016.2.24","수요일",2750,226304.6,10000,0.385416667
"2016.2.25","목요일",2852,215021.5,9999.526551,0.373737374
"2016.2.26","금요일",2796,274837.5,10000,0.0222222222
"2016.2.27","토요일",2771,272901.5,10000.12667,0.194444444
"2016.2.29","월요일",2925,324991.5,10000,0.316129032
"2016.3.1","화요일",2762,229064.5,9999.970148,0.0133333333
"2016.3.2","수요일",3054,272724.5,10000.02699,0.430555556
"2016.3.3","목요일",3179,211138,10000.07034,0.215686275
"2016.3.4","금요일",3147,309472,10000,-0.0454545455
"2016.3.5","토요일",3207,246464.5,9999.826097,0.346938776
"2016.3.7","월요일",3375,336665.5,10000,0.0990990991
"2016.3.8","화요일",3467,298651,10000,0.235880399
"2016.3.9","수요일",3511,300282,10000,0.137254902
"2016.3.10","목요일",3581,228806.5,10000,0.574468085
"2016.3.11","금요일",3649,326143.5,10000,0.0638297872
"2016.3.12","토요일",3408,329735.5,10150.02118,0
"2016.3.14","월요일",3387,435010,10200,0.194539249
"2016.3.15","화요일",3285,275206.5,10000,0.323232323
"2016.3.16","수요일",3351,307135,10052.72918,0.265306122
"2016.3.17","목요일",3541,240015.5,10200,-0.113924051
"2016.3.18","금요일",3415,364836.5,10200,0.260869565
"2016.3.19","토요일",3426,313877.5,10242.28118,0.4
"2016.3.21","월요일",3507,504512,10200,-0.12195122
"2016.3.22","화요일",3367,350913.5,10000,0.163398693
"2016.3.23","수요일",3362,407406.5,10000,-0.115789474
"2016.3.24","목요일",3351,280143,10000,0.244444444
"2016.3.25","금요일",3364,484269.5,10200,0.134328358
"2016.3.26","토요일",3181,438444.5,10221.00746,0
"2016.3.28","월요일",3286,548128.5,10200,0.209302326
"2016.3.29","화요일",3146,356070,10300,-0.0222222222
"2016.3.30","수요일",3051,430672,10550,0.314285714
"2016.3.31","목요일",3267,280306,11900,0.333333333
"2016.4.1","금요일",3314,522224.5,12485.28156,-0.00699300699
"2016.4.2","토요일",3345,474467.2,12321.86919,0
"2016.4.4","월요일",3143,676335.5,12150,0.194444444
"2016.4.5","화요일",3030,431787,12600,0.2
"2016.4.6","수요일",2952,477505.5,13500,0.236180905
"2016.4.7","목요일",3039,377200.5,13700,0.214611872
"2016.4.8","금요일",2883,499678.5,13800,0.325443787
"2016.4.9","토요일",2798,523529,14062.15094,-0.136363636
"2016.4.11","월요일",2760,763936.5,14300,0.152173913
"2016.4.12","화요일",2678,506673,14400,0.0681818182
"2016.4.13","수요일",2602,554563.5,14590.59164,-0.4
"2016.4.14","목요일",2767,448851.5,14500,0.232432432
"2016.4.15","금요일",2609,618690.5,13788.60051,0.264150943
"2016.4.16","토요일",2386,626927.5,12976.79691,0
"2016.4.18","월요일",2315,890490,12800,0.095890411
"2016.4.19","화요일",2210,596073,13400,0.476923077
"2016.4.20","수요일",2053,750502,13400,0.234042553
"2016.4.21","목요일",2048,518048,13300,0.0740740741
"2016.4.22","금요일",1972,681802,12050,-0.0434782609
"2016.4.23","토요일",1877,702121,12154.84164,0.122807018
"2016.4.25","월요일",1837,984044.5,13050,0
"2016.4.26","화요일",1771,607570.6,13100,0.116666667
"2016.4.27","수요일",1779,665574,12150,0.175438596
"2016.4.28","목요일",1902,387392.5,13050,0.420560748
"2016.4.29","금요일",1905,661421,13000,0.6
"2016.4.30","토요일",1889,712838,13359.73211,0.5625
"2016.5.2","월요일",1712,1110618.9,13200,0.278688525
"2016.5.3","화요일",1683,627278.5,12050,0.142857143
"2016.5.4","수요일",1540,853887.5,13250,0.0833333333
"2016.5.5","목요일",1623,653190.5,14080.42031,0
"2016.5.6","금요일",1501,792737,13997.3706,0.1
"2016.5.7","토요일",1388,891489.6,13540.6356,0
"2016.5.9","월요일",1298,1279843.5,13250,0.522727273
"2016.5.10","화요일",1238,736026,13399.47779,0.141176471
"2016.5.11","수요일",1193,914507,13200,-0.0487804878
"2016.5.12","목요일",1350,610492.5,12500,0.363636364
"2016.5.13","금요일",1305,836482,13300,0.0276243094
"2016.5.14","토요일",1224,775276,13550.01608,-0.172413793
"2016.5.16","월요일",1175,1100692,13300,0.0930232558
"2016.5.17","화요일",1196,643182,13250,-0.0955414013
"2016.5.18","수요일",1230,763024,13200,-0.0131578947
"2016.5.19","목요일",1231,627377,13000,0.0909090909
"2016.5.20","금요일",1285,648140.5,12850,-0.0333333333
"2016.5.21","토요일",1299,612243,13074.19545,0
"2016.5.23","월요일",1289,1070729,12850,0.225806452
"2016.5.24","화요일",1282,630627,11900,0.392
"2016.5.25","수요일",1299,792942.5,11900,0.0787172012
"2016.5.26","목요일",1261,736285,11000,0.094972067
"2016.5.27","금요일",1264,938888.5,10850,0.235294118
"2016.5.28","토요일",1175,880013,10831.31211,0
"2016.5.30","월요일",1095,1268227.5,10800,0.0566037736
"2016.5.31","화요일",1061,735350,10650,0.0256410256
"2016.6.1","수요일",1032,958567.6,10000,0.188888889
"2016.6.2","목요일",1040,702672,10850,0.2
"2016.6.3","금요일",1012,905995,11000,0.264367816
"2016.6.4","토요일",978,877463.5,11008.11617,0
"2016.6.6","월요일",923,1257390,11059.96509,0.25
"2016.6.7","화요일",904,956047,10950,0.0198019802
"2016.6.8","수요일",885,923107,10600,0.244019139
"2016.6.9","목요일",889,791338,10342.77665,0.23566879
"2016.6.10","금요일",888,828798,10245.38301,0.256965944
"2016.6.11","토요일",846,787140,10276.60105,0.163636364
"2016.6.13","월요일",820,1263436.8,10405.21272,-0.183673469
"2016.6.14","화요일",824,752335,10600,0.128378378
"2016.6.15","수요일",830,850726,10600,0.217391304
"2016.6.16","목요일",866,619060,10000,-0.0793650794
"2016.6.17","금요일",915,787580,10300,0.104761905
"2016.6.18","토요일",886,791740,10417.43859,0
"2016.6.20","월요일",874,1047043,10300,-0.0793650794
"2016.6.21","화요일",879,613552,10300,0
"2016.6.22","수요일",855,738225,10300,-0.0975609756
"2016.6.23","목요일",904,662290,10000,0
"2016.6.24","금요일",865,734321,10000,0.0309278351
"2016.6.25","토요일",821,789185,10437.79625,0.153846154
"2016.6.27","월요일",805,1117888,10800,0.315789474
"2016.6.28","화요일",808,596606,10700,0.193548387
"2016.6.29","수요일",802,600082,10550,0.0847457627
"2016.6.30","목요일",860,469738,10450,0.378378378
"2016.7.1","금요일",859,568821,10800,0.215686275
"2016.7.2","토요일",801,489953,10680.68826,-0.28
"2016.7.4","월요일",809,760589,10300,0.010989011
"2016.7.5","화요일",888,430906,10132.67038,0.146341463
"2016.7.6","수요일",940,397576,10100,0.0227272727
"2016.7.7","목요일",995,386724.4,10000,0.144578313
"2016.7.8","금요일",1127,443744,9767.285003,0.0752688172
"2016.7.9","토요일",1238,457896,9656.845816,0.666666667
"2016.7.11","월요일",1284,606203,10000,0.149606299
"2016.7.12","화요일",1322,385661,10550,0.0990990991
"2016.7.13","수요일",1373,465664,10000,0.301369863
"2016.7.14","목요일",1292,513536,10250,0.0547945205
"2016.7.15","금요일",1292,540706,10250,0.037037037
"2016.7.16","토요일",1087,531564.6,10262.11077,0.217391304
"2016.7.18","월요일",1053,693961,10300,0.107142857
"2016.7.19","화요일",1022,449269,10250,-0.0442477876
"2016.7.20","수요일",976,414287.5,10250,0.264516129
"2016.7.21","목요일",1033,256722,10050,0.0714285714
"2016.7.22","금요일",1136,246530.7,10000,-0.00680272109
"2016.7.23","토요일",1264,287275,10141.06072,0
"2016.7.25","월요일",1327,432406,10200,0.0352941176
"2016.7.26","화요일",1452,272888,10000,0
"2016.7.27","수요일",1493,395069.5,9864.506923,0.102040816
"2016.7.28","목요일",1525,337651,9950,0.108108108
"2016.7.29","금요일",1394,396856,10200,0.0869565217
"2016.7.30","토요일",1059,421804,10190.04658,0
"2016.8.1","월요일",1018,556079,10050,0.037037037
"2016.8.2","화요일",1010,376175,10000,-0.1
"2016.8.3","수요일",1080,392928,9968.7151,0
"2016.8.4","목요일",1070,380421,9950,0.0909090909
"2016.8.5","금요일",1053,416224.5,9960.599188,0.232704403
"2016.8.6","토요일",914,168866,9961.558709,0.027027027
"2016.8.8","월요일",1042,541350.5,9900,0.222222222
"2016.8.9","화요일",1050,340596,9788.317792,0.0756302521
"2016.8.10","수요일",1115,355898.5,9900,0
"2016.8.11","목요일",1151,367461,10300,-0.0142857143
"2016.8.12","금요일",1165,387400.5,10300,0.142857143
"2016.8.13","토요일",1067,416553,10182.5672,-0.363636364
"2016.8.15","월요일",1071,580034,10079.63775,0.160714286
"2016.8.16","화요일",1059,452947,10000,-0.0993377483
"2016.8.17","수요일",1046,533577.5,9959.223165,-0.0536277603
"2016.8.18","목요일",1116,379256,10000,0.0153846154
"2016.8.19","금요일",1170,403876,10138.23418,-0.210810811
"2016.8.20","토요일",1148,436741.5,10255.54955,0.0769230769
"2016.8.22","월요일",1133,582612.5,10200,0.0790190736
"2016.8.23","화요일",1213,370170,10000,-0.00380228137
"2016.8.24","수요일",1305,388539.9,10198.32281,0.0410958904
"2016.8.25","목요일",1423,359578,10689.7681,-0.0161290323
"2016.8.26","금요일",1515,353615,11162.05198,0
"2016.8.27","토요일",1590,354879,11302.89058,0.0476190476
"2016.8.29","월요일",1737,479117,10800,-0.0649350649
"2016.8.30","화요일",1948,264309.5,10200,0.04
"2016.8.31","수요일",2238,269040,11300,0.00343642612
"2016.9.1","목요일",2597,199384,10500,-0.0256410256
"2016.9.2","금요일",2873,214184,10400,0.037037037
"2016.9.3","토요일",3152,246892,10357.6207,-0.0649350649
"2016.9.5","월요일",3003,341825,10115.327,0.0666666667
"2016.9.6","화요일",3169,190902.8,9900,0.0224215247
"2016.9.7","수요일",3008,237769,9872.423361,0.0273972603
"2016.9.8","목요일",3316,180399,9928.991144,0.230769231
"2016.9.9","금요일",3646,264304,9900,0.156549521
"2016.9.10","토요일",3088,307805,9686.019192,0
"2016.9.12","월요일",2259,548706,9468.708421,0.110629067
"2016.9.13","화요일",1991,364338,9500,0.171428571
"2016.9.14","수요일",962,211369,9941.401247,0.203883495
"2016.9.17","토요일",1563,4300,10592.71951,0
"2016.9.19","월요일",1208,627154,11163.33716,0.142857143
