"date","요일","가격","토마토거래량","기온_지속영향_size5","토마토_강수량_지속영향_size10"
"2016.1.4","월요일",1834,291057,NA,NA
"2016.1.5","화요일",1833,194626.5,NA,NA
"2016.1.6","수요일",1999,178811,NA,NA
"2016.1.7","목요일",1921,107346.3,NA,NA
"2016.1.8","금요일",2107,190624,1.3,NA
"2016.1.9","토요일",2111,137028,0.38,NA
"2016.1.11","월요일",2170,199396,0.12,NA
"2016.1.12","화요일",2281,170969,-0.44,NA
"2016.1.13","수요일",2488,162336,-0.76,NA
"2016.1.14","목요일",2344,103103,-0.88,0.215860186
"2016.1.15","금요일",2436,180422.8,-1.06,0.344533042
"2016.1.16","토요일",2473,146096.4,-0.76,0.230304023
"2016.1.18","월요일",2513,171395,-0.74,0.445618059
"2016.1.19","화요일",2587,162940,-2,0.645210268
"2016.1.20","수요일",2498,156328.5,-3.16,0.639148007
"2016.1.21","목요일",2629,85548.7,-4.06,0.634622246
"2016.1.22","금요일",2752,156445,-5.06,0.457837247
"2016.1.23","토요일",2552,136158,-6.06,0.941434553
"2016.1.25","월요일",2640,144853.3,-5.88,0.844467504
"2016.1.26","화요일",2763,110429.5,-4.84,0.85145822
"2016.1.27","수요일",2831,153214,-3.86,0.620065538
"2016.1.28","목요일",2743,118587,-2.96,2.04507191
"2016.1.29","금요일",2999,183726,-1.1,3.720298562
"2016.1.30","토요일",2966,115350,0.66,3.778008374
"2016.2.1","월요일",3089,183779,0.42,3.774658656
"2016.2.2","화요일",2892,133900,-0.3,3.449856181
"2016.2.3","수요일",3176,160674,-0.72,3.695390497
"2016.2.4","목요일",3120,117904,-1.1,3.431017659
"2016.2.5","금요일",3168,233384.5,-1.58,3.371636628
"2016.2.6","토요일",2726,197174.2,-1.28,2.218143091
"2016.2.10","수요일",1752,305,-0.16,1.892292008
"2016.2.11","목요일",2884,184573,1.56,2.044030584
"2016.2.12","금요일",2543,388787.8,3.42,5.279548516
"2016.2.13","토요일",2325,193490.6,5.8,7.751906062
"2016.2.15","월요일",2588,303740.5,5.46,7.809266339
"2016.2.16","화요일",2914,261719,5,7.938565447
"2016.2.17","수요일",2634,235259,3.88,7.943488076
"2016.2.18","목요일",2642,190891,2.66,7.706415438
"2016.2.19","금요일",2674,290897.5,1.22,7.971713089
"2016.2.20","토요일",2494,245116.4,2.54,7.651560167
"2016.2.22","월요일",2763,300304,3.1,3.023196796
"2016.2.23","화요일",2690,232827,3.52,5.017757145
"2016.2.24","수요일",2750,226304.6,2.6,3.095823776
"2016.2.25","목요일",2852,215021.5,1.76,0.310132896
"2016.2.26","금요일",2796,274837.5,1.62,0.543080284
"2016.2.27","토요일",2771,272901.5,2.12,0.712200983
"2016.2.29","월요일",2925,324991.5,1.1,0.776413617
"2016.3.1","화요일",2762,229064.5,1.02,0.758601857
"2016.3.2","수요일",3054,272724.5,1.6,0.741405425
"2016.3.3","목요일",3179,211138,2.48,0.688057528
"2016.3.4","금요일",3147,309472,3.32,2.487922811
"2016.3.5","토요일",3207,246464.5,6.04,8.596675769
"2016.3.7","월요일",3375,336665.5,8.1,8.297105407
"2016.3.8","화요일",3467,298651,8.64,8.82810122
"2016.3.9","수요일",3511,300282,7.82,9.58054615
"2016.3.10","목요일",3581,228806.5,6.2,9.341208811
"2016.3.11","금요일",3649,326143.5,3.98,9.284372838
"2016.3.12","토요일",3408,329735.5,2.7,9.281227016
"2016.3.14","월요일",3387,435010,2.36,7.431319862
"2016.3.15","화요일",3285,275206.5,2.86,3.268807573
"2016.3.16","수요일",3351,307135,4.36,7.42817404
"2016.3.17","목요일",3541,240015.5,6.26,0.745953031
"2016.3.18","금요일",3415,364836.5,8,2.519384671
"2016.3.19","토요일",3426,313877.5,9.24,2.48547606
"2016.3.21","월요일",3507,504512,9.84,1.841085017
"2016.3.22","화요일",3367,350913.5,9.94,1.823498999
"2016.3.23","수요일",3362,407406.5,9.52,1.99025669
"2016.3.24","목요일",3351,280143,8.56,2.056249772
"2016.3.25","금요일",3364,484269.5,7.64,2.062075369
"2016.3.26","토요일",3181,438444.5,7.06,2.109430184
"2016.3.28","월요일",3286,548128.5,7.06,0.389765156
"2016.3.29","화요일",3146,356070,7.82,2.131472784
