date,АЁАн
2020.9.7,3186
2020.9.8,3249
2020.9.9,3410
2020.9.10,3588
2020.9.11,3811
2020.9.12,3964
2020.9.14,4359
2020.9.15,4781
2020.9.16,5450
2020.9.17,7348
2020.9.18,7068
2020.9.19,6299
2020.9.21,6004
2020.9.22,5536
2020.9.23,5529
2020.9.24,5587
2020.9.25,5596
2020.9.26,5262
2020.9.28,5024
2020.9.29,4268
2020.9.30,3550
2020.10.5,3083
2020.10.6,3358
2020.10.7,3538
2020.10.8,3765
2020.10.9,3487
2020.10.10,3401
2020.10.12,3527
2020.10.13,3671
2020.10.14,3585
2020.10.15,3704
2020.10.16,4168
2020.10.17,3468
2020.10.19,3661
2020.10.20,3323
2020.10.21,3562
2020.10.22,3483
2020.10.23,3675
2020.10.24,3457
2020.10.26,3795
